score,start,end,transcript
0.0,0.03,2.02,"Hi everyone, Nikola here."
0.9322,2.02,4.92,"In this video, we will talk about virtual memory."
0.8412,4.92,10.31,"I will walk you through the problems, how virtual memory solves them, and finally how it's implemented."
0.8812,10.31,14.24,We will look at three problems that virtual memory solves.
0.5545,14.24,18.71,"Not enough memory, memory fragmentation, and security."
0.7794,18.71,24.48,"In the old days, computer memory was expensive and computers didn't have as much RAM as today."
0.6262,24.48,32.45,"For instance, most CPUs could support up to 4GB of RAM, but it was common for computers to have only 1GB of RAM, or even less."
0.5425,32.45,35.77,Why could CPUs support only up to 4GB?
0.7479,35.77,43.24,"That's because registers could start 32 bits and could access up to 2 to the power of 32 bytes of memory, which is 4GB."
0.5377,43.24,46.09,And this is what every program could do in theory.
0.7636,46.09,54.53,"Modern CPUs on the other hand have 64 bit address space, but we will use 32 bits for examples in this video because the numbers are easier to work with."
0.8731,54.53,61.18,"Our computer has only two gigabytes of RAM in this example, which is 31 bit address space."
0.6628,61.18,64.11,So what happens when a program tries to access the first few bytes?
0.2586,64.11,66.37,That's not a problem.
0.7658,66.37,69.82,But what happens when the program tries to use more than 2GB of memory?
0.6528,69.82,73.16,The program will crash because there is no memory to access.
0.6143,73.16,76.61,This is why programs used to crash in the 1950s or so.
0.2024,76.61,79.15,Now let's look at the second problem.
0.6755,79.15,83.3,Let's say that we have installed 4GB of RAM and we have 3 programs.
0.471,83.3,93.79,"A video player that runs a movie and needs 1GB of RAM, a video game that needs 2GB of RAM, and a photo editing software that also needs 2GB of RAM."
0.8075,93.79,97.43,"If we run programs 1 and 2, they can fit in memory."
0.6124,97.43,100.05,They use three gigabytes living one gigabyte free.
0.5136,100.05,107.78,"If we close the video player, the memory usage is now two gigabytes and there's also two gigabytes of free space."
0.4983,107.78,115.23,"We should be able to run the photo editing software, but we can't because the memory is split, even though there's enough space in total."
0.7612,115.23,116.87,This is called memory fragmentation.
0.7916,116.87,121.33,Why can't we split our program across the memory you may ask?
0.241,121.33,124.69,"We could, but writing such programs will be very hard."
0.5952,124.69,132.49,"If we have a global array of elements, we wouldn't be able to access any element using indexes if it was split across two memory chunks, for instance."
0.8352,132.49,139.1,"We would have to implement some kind of interaction, and as you'll see later, this is what the virtual memory is."
0.131,139.1,142.54,Let's look at the third problem.
0.7344,142.54,148.93,"We've said that each program can access any 32-bit address, so what happens if two programs try to access the same memory?"
0.6645,148.93,153.58,"For example, say that both programs write some value to the address 64."
0.2391,153.58,159.38,A video game that stores the player's current health and the music player that writes the remaining song duration.
0.4427,159.38,167.46,"When the song finishes, the music player writes 0 to this address, and if this is also the player's health, you would be dead and it would be game over."
0.4926,167.46,171.72,That would be very annoying because these two programs are corrupting each other's state.
0.6896,171.72,181.84,"So to summarize, if all programs have access to the same 32-bit memory space, they can crash if they access invalid memory addresses because the computer has less than 4GB of RAM."
0.6887,181.84,189.37,"They can also run out of space if there are multiple programs running due to the memory fragmentation, or they could also corrupt each other's data."
0.8891,189.37,194.3,The key problem here is that programs have access to the same memory space.
0.7848,194.3,200.63,"So if we can give each program its own memory space, then we might be able to solve these problems."
0.8052,200.63,208.72,The memory space assigned to each program is called virtual memory and every program has its own virtual memory that doesn't overlap with other programs.
0.9339,208.72,213.89,But this means that we have to map each program's virtual memory space to RAM space.
0.8887,213.89,219.76,We will refer to RAM as physical memory and to RAM addresses as physical addresses.
0.7208,219.76,228.81,We use terms physical memory and physical address instead of RAM memory and address because RAM is not the only physical memory device that the CPU can access.
0.8611,228.81,233.86,It can also access memory or registers of other devices that are mapped to the same address space.
