score,start,end,transcript
0.5859,0.03,16.09,"It is the summer of 1971 and several college students are being arrested at their homes by Palo Alto, California Police and charged with armed robbery and burglary, penal codes 211 and 459."
0.5967,16.09,24.5,"Although none of his men had previously committed a crime, college students getting arrested is not a unique thing."
0.5223,24.5,32.39,"Slightly out of the ordinary, the men had a good idea this would be happening, and strange as still, the whole event is being filmed."
0.3334,32.39,35.48,"All of this, although odd, could feasibly happen."
0.1877,35.48,39.84,But the whole pantomime has a strangely fake feeling about it.
0.4671,39.84,44.91,Maybe the alleged criminals are more hardened than their records would suggest.
0.5816,44.91,50.78,"No passes by would know this, but all the men are being paid to be arrested."
0.4646,50.78,55.18,"but not by some organised crime group, but instead by university."
0.4989,55.18,62.66,What is actually happening is the beginning of one of the most controversial and well-known psychological studies.
0.5917,62.66,70.35,"The experiment's orchestrator would have to end the study short, as the participants would take things beyond what he expected."
0.7249,70.35,76.06,"Today we're looking at the Stanford Prison Experiment, and I'm going to give my rating for this one at the end of the video."
0.158,76.06,78.08,Let's see what you think.
0.1148,78.08,93.06,"Philip George Zimbardo was born on the 23rd of March 1933 in New York, New York State, United States."
0.4028,93.06,104.69,"In his early years, he suffered discrimination due to his Italian ancestry and was quite often carelessly mistaken for a multitude of other ethnic backgrounds."
0.5616,104.69,114.99,"The Young Zimbardo, like many other people covered in this series, used this all-too-common human behavior as a spark for his interest in psychology."
0.3064,114.99,125.16,"In the early 1950s he attended Brooklyn College, graduating with a BA, boasting free majors in psychology, sociology and anthropology."
0.3033,125.16,135.79,"The next year he went on to earn an MA and by 1959 had also earned a PhD, both from Yale in psychology."
0.3954,135.79,143.4,Zimbardo briefly stayed on at Yale to teach psychology from 1959 to 1960.
0.1213,143.4,148.51,"Whilst Fair, he married Rose Abelner and had a son in 1962."
0.2202,148.51,156.82,"But he left Yale when offered a job as a professor at New York University, where he would stay in the role until 1967."
0.3559,156.82,170.0,"In 1967, he would move again to Columbia University, which would be brief as he was offered a faculty position at Stanford University in 1968."
0.4052,170.0,178.11,Just three years later he was offered and accepted in 1971 a tenured position as a professor of psychology.
0.2921,178.11,182.52,The same year Zimbardo and Rose would divorce.
0.2762,182.52,189.65,"As a side note Rose was a very well accomplished academic in her own right, specialising in English literature."
0.5999,189.65,195.6,And this rather quickly brings us onto the experiment that would write Zimbardo's name in history.
0.7664,195.6,204.42,Zimbardo was interested in how the US prison system had seemed to foster a pure hatred between prisoners and guards.
0.6869,204.42,209.47,Was the explanation for this purely down to the nature of the people involved?
0.4966,209.47,215.98,"For example, are the conditions bad because criminals are bad or because the administrators are likely to be harsh?"
0.1238,215.98,221.01,"In reality, it is probably impossible to know and it feels like a chicken and egg situation."
0.684,221.01,227.25,"As if a prisoner breaks the rules, then the rules are made tougher, leading to more prisoners breaking the rules."
0.5274,227.25,231.69,"Naturally, both sides of the bars would distrust one another."
0.2831,231.69,234.16,which can create a downward spiral.
0.3833,234.16,240.23,One thing that is true today as it was in the 1970s is such high recidivism rates.
0.7415,240.23,244.58,"Purely, by the nature of being a prisoner, you become isolated from society."
0.154,244.58,246.4,And this isn't unique to the US.
0.1391,246.4,249.87,We have very much the same situation here in the UK.
0.496,249.87,255.9,But what if you can eliminate the deep-rooted hatred between those in cells and those with the keys?
0.7551,255.9,265.11,"And this is where Zimbardo comes in, as can you get rid of his hatred by using a randomly selected group of people who are neither guards or prisoners?"
0.422,265.11,268.94,And by splitting these random people up into the different roles?
0.7411,268.94,276.78,You've essentially created a prison scene without the natural distrust between the administrators of the law and the breakers of the law.
0.3889,276.78,282.75,Zimbardo managed to secure financing for the experiment from the US office of the Navy.
