score,start,end,transcript
0.7911,0.03,9.89,"In the early 1970s, a Harvard graduate student named Paul Werbos discovered a method for training multi-layer neural networks that we now call back propagation."
0.5753,9.89,17.55,"Warbos would later compare the discovery to Newton's laws, positioning backpropagation as a fundamental mathematical law of intelligence."
0.5344,17.55,27.06,"When Warbos took his discovery to AI legend Marvin Minsky, Minsky rejected it outright, claiming that backpropagation would not be able to learn anything difficult."
0.6718,27.06,34.51,"However, despite being consistently underestimated by Minsky and many others, backpropagation just kept working."
0.6746,34.51,43.78,"Successfully training models to drive cars in the 1980s, recognize handwritten digits in the 1990s, and classify images with incredible accuracy in the early 2010s."
0.6509,43.78,49.06,"And today, virtually all modern AI models are trained using backpropagation."
0.5946,49.06,55.07,This animation shows the flow of real data through Meta's Lama 3.2 large language model.
0.4849,55.07,58.95,Note that the entire model is too large to show on screen.
0.3362,58.95,62.12,Here we're showing the strongest connections.
0.7773,62.12,77.0,"Given some input text, like the capital of France is, Lama predicts the token that will come next, and the back propagation algorithm figures out how to update each of the models 1.2 billion parameters to make Lama more confident in the correct next token."
0.3444,77.0,82.47,"These updates are shown in blue, where thicker lines correspond to larger updates."
0.8124,82.47,90.0,"In this middle layer of the model, we can see back propagation is modifying the weights flowing in and out of this attention pattern."
0.6687,90.0,101.19,"This pattern tells the model to focus on the second and fourth token in the input text, in this case the words capital and France, which are important for predicting the next token of Paris."
0.7793,101.19,111.39,"Backpropagation is remarkably able to figure out which parts of these massive models to update, to iteratively improve performance, and learn highly complex behaviors."
0.8629,111.39,120.63,"Like Newton's laws, the back propagation algorithm is simple, elegant, and deceptively scalable, leading to incredibly rich structures and behaviors."
0.9495,120.63,126.28,"In this video and the next in the series, we'll see precisely how back propagation works."
0.1188,126.28,136.84,"Now, before we get started, we need to talk about Remember when you used to be able to just ignore calls from unknown numbers?"
0.0127,136.84,138.7,"I do, it was awesome."
0.0573,138.7,144.61,"But now that I have kids, I've learned it's much less awesome to ignore calls from your kids' school principals and doctors."
0.0415,144.61,146.84,But you know who never calls me anymore?
0.1117,146.84,148.08,Telemarketers.
0.3047,148.08,154.87,"Thanks to this video sponsor and Cogni, I get so few marketing calls these days that I've actually started answering unknown numbers."
0.1066,154.87,158.9,"Because more often than not now, it's someone I actually need to talk to."
0.5623,158.9,161.28,The way in Cogni does this is really impressive.
0.1375,161.28,167.55,"After signing up for an account, you've given Cogni permission to work on your behalf to contact data brokers to remove your data."
0.1208,167.55,174.18,"From here you get this great dashboard that tracks all the removal requests and progress, and is always working in the background."
0.2888,174.18,177.2,"In Cogni is sponsoring this whole series, which is great."
0.4327,177.2,185.24,"And I actually had to record this graphic because in the few weeks since I released Part 1, my data has been removed from 34 more data brokers."
0.1418,185.24,191.97,"Incogni has just released a new feature that makes their service even more effective, called custom data removals."
0.2155,191.97,198.05,"If you Google your name and address, you may be surprised to find exactly where your personal information pops up."
0.1135,198.05,206.26,"With custom removals, you can submit specific URLs directly to the Incogni team, who will work to remove your information from eligible sites."
0.1796,206.26,213.08,"You can get a great deal on Incogni, 60% off an annual plan by using the code WelchLabs, or following the link in the description below."
0.2353,213.08,216.78,It's been a while since I've made a multi-part series like this.
0.3133,216.78,222.79,"Huge thank you to Incogni for helping make this series possible, and helping me get more quality focus time."
1.0,222.79,225.62,"Now, back to the back propagation algorithm."
0.8085,225.62,233.36,"In part one of this series, we took a visual first approach to training meta's alumna 3.2, 1.2 billion parameter model."
0.6627,233.36,242.43,"We showed how lost landscapes give us a sense for the high-dimensional spaces these models operate in, but also how these types of visualizations can fall short."
0.925,242.43,250.85,"In this video, we'll take a math first approach that will lead us to the back propagation algorithm that were most discovered over 50 years ago."
0.9636,250.85,257.14,"To build up the equations we need, we'll simplify our learning problem, work out the equations, and then scale back up."
0.6826,257.14,268.8,"Instead of training a large language model like Lama, to predict what comes next in phrases like the capital of France is, let's train a smaller model to predict what's city you're in, based on your GPS coordinates."
0.6483,268.8,273.15,Our training data is now GPS coordinates taken from a few different cities.
