score,start,end,transcript
0.7449,0.77,9.88,"This is a traffic jam wave with no apparent cause, yet it drains fuel, time and safety from everyone stuck inside it."
0.6756,9.88,22.46,"And this mathematical model captures the essence of that phenomenon, though today it comes with two surprises."
0.5799,22.46,27.44,"These cars drive on a ring road, each reacting to the one ahead."
0.7281,27.44,37.31,"At first, everything stays quiet, until with no outside cars, waves appear, growing until cars come to a stop."
0.3588,37.31,41.87,This kind of jam forming out of nowhere is called a phantom jam.
0.6249,41.87,47.62,Here's footage from a 2018 experiment showing exactly this behavior.
0.573,47.62,57.21,"It wasn't the first, but along with others, it proved that phantom jams are real and don't need visible causes like accidents or roadworks."
0.9628,57.21,61.89,So it's all about how drivers react and that's what causes these waves.
0.2253,61.89,65.36,But here we add another twist.
0.6247,65.36,69.27,After a while the backward moving jam start to change.
0.3625,69.27,74.39,Gradually they thin out and eventually disappear again.
0.7687,74.39,97.42,"One might think everyone just learned to drive better and we will calculate what better driving mathematically means, but in fact only six drivers used a quiet trick, which shows that on a shared resource here is a single lane, a small number of drivers can smooth out traffic for everyone, which means fewer savings for everyone."
0.3536,97.42,109.06,"Of course, ideally you'd want a fewer cars in total, but with the complexity of everyday life and the mix of traffic modes, making cars consumable less fuel could still be worth it."
0.8558,109.06,114.33,But it's not that simple because traffic waves can be counter intuitive.
0.3433,114.33,119.16,Are you really sure all these drivers are just bad drivers?
0.8811,119.16,136.83,"If you have a driver who catches up perfectly smoothly to the car ahead, without any overshooting or overreacting, and you put many of these perfect drivers in a row, they nonetheless turn the tiniest disturbances into full blown traffic waves."
0.5045,136.83,141.29,So it turns out just following calmly isn't enough.
0.5299,141.29,144.91,and traffic waste are even more complex.
0.9074,144.91,153.44,"There are situations where, with the same number of cars, a tiny difference in disturbance leads to completely different results."
0.6469,153.44,159.4,"On the left, one car temporarily breaks to 8% of its speed, on the right to 7.5%."
0.538,159.4,166.89,"Both trigger an initial wave, but on the left it fades, on the right it grows."
0.89,166.89,174.46,"So even with identical congestion, traffic can fall into a stable or unstable situation."
0.7486,174.46,182.81,"To see why that is, we'll go back to how these jams really form, which will then tell us how to drive better."
0.3222,182.81,186.83,"but even if you know how to do it, not everyone will do it."
0.5609,186.83,194.38,So how many percent of good drivers does it take to stabilize highways or cities full of lazy drivers?
0.1323,194.38,197.82,And what can you do if nobody plays along?
