model,video,segment,title_number,start,generated_title
llama3.1-8b,pantone_colors,1,1,0,"$9,999 Shades of Yellow"
llama3.1-8b,pantone_colors,1,2,0,"$9,999 Colors: The Pantone Secret"
llama3.1-8b,pantone_colors,1,3,0,The Color Cartel: Unlocking Pantone's Secret
llama3.1-8b,pantone_colors,1,4,0,The Color Empire: A Pricey Palette
llama3.1-8b,pantone_colors,1,5,0,The Color Cartel: A $9K Palette
llama3.1-8b,pantone_colors,1,6,0,The Color Cartel: Unlocking Pantone's Secret
llama3.1-8b,pantone_colors,1,7,0,The Color Cartel: Unpacking Pantone's Dominance
llama3.1-8b,pantone_colors,1,8,0,The Price of Precision in Color
llama3.1-8b,pantone_colors,1,9,0,The Color Empire: A Pricey Palette
llama3.1-8b,pantone_colors,1,10,0,The Color Code: Unlocking Pantone's Secret
llama3.1-8b,pantone_colors,2,1,101,Pantone's Color Revolution in Design
llama3.1-8b,pantone_colors,2,2,101,Pantone Pioneers Color Consistancy
llama3.1-8b,pantone_colors,2,3,101,Pantone's Color Revolution
llama3.1-8b,pantone_colors,2,4,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,2,5,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,2,6,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,2,7,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,2,8,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,2,9,101,“Color Standardization: A Game Changer”
llama3.1-8b,pantone_colors,2,10,101,The Birth of Color Consistency
llama3.1-8b,pantone_colors,3,1,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,2,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,3,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,4,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,5,190,The Color Code: Pantone's Breakthrough
llama3.1-8b,pantone_colors,3,6,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,7,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,8,190,Color Standardization Breakthrough
llama3.1-8b,pantone_colors,3,9,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,3,10,190,Standardizing Color: The Birth of Pantone
llama3.1-8b,pantone_colors,4,1,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,2,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,3,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,4,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,5,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,6,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,7,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,8,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,9,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,4,10,371,Pantone's Color Code Monopoly
llama3.1-8b,pantone_colors,5,1,465,Achieving Perfect Color Consistency with Pantone
llama3.1-8b,pantone_colors,5,2,465,Unlocking the Secret to Vibrant Colors
llama3.1-8b,pantone_colors,5,3,465,Pantone Precision: A Color Standard
llama3.1-8b,pantone_colors,5,4,465,Pantone's Color Advantage in Commercial Printing
llama3.1-8b,pantone_colors,5,5,465,Achieving Consistent Colors with Precision
llama3.1-8b,pantone_colors,5,6,465,Perfecting Color Consistency with Expertise
llama3.1-8b,pantone_colors,5,7,465,Achieving Consistent Color with Precision
llama3.1-8b,pantone_colors,5,8,465,Pantone's Color Formula Mastery
llama3.1-8b,pantone_colors,5,9,465,Achieving Consistent Colors with Precision
