score,start,end,transcript
0.9133,0.03,7.96,Insulting Genghis Khan's Diplomats One of the most destructive military campaigns in human history started for a basically useless reason.
0.4322,7.96,16.25,"In the early 1200s, Genghis Khan, leader of the Mongols, was technically at peace with the Quaresmean Empire, and the two had even fought against shared enemies."
0.7174,16.25,24.4,But everything changed when a Mongol trade caravan entered Quaresmean territory and was attacked by a local governor who stole the goods and killed the merchants.
0.6778,24.4,31.39,"Instead of going to war right away, Genghis Khan sent ambassadors to the Shah of Quarism to ask for justice and for the governor to be punished."
0.7059,31.39,33.22,But the Shah made a terrible decision.
0.7329,33.22,37.32,He had one of the Mongol envoys killed and sent his severed head back with the others.
0.6444,37.32,40.75,"In Mongol culture, harming a messenger was a serious offence."
0.9324,40.75,43.89,"It was seen not just as an insult, but as a clear act of war."
0.7987,43.89,46.56,Genghis Khan responded with a massive invasion.
0.5487,46.56,50.88,His army destroyed entire cities and completely wiped out the Quaresmian Empire.
0.7151,50.88,54.91,"Even the lowest estimates suggest that millions died, but the attack didn't stop there."
0.6971,54.91,59.68,"The Mongols continued west, bringing destruction to Persia, parts of the Middle East, and even into Europe."
0.4994,59.68,64.43,No one can say for sure what would have happened if the Shah had simply apologized and punished the governor.
0.7203,64.43,68.67,"But what we do know is that at the time, the Mongols were busy fighting a war in China."
0.8194,68.67,75.16,"So by killing the ambassador, the Shah may have accidentally triggered one of the most destructive military campaigns in human history."
0.3227,75.16,76.41,German U110.
0.7429,76.41,91.29,"On its first mission in March 1941, the German submarine damaged two Allied ships but had to stop early after an accident with its own gun injured some of the crew, but its second mission in April and May 1941 would change the course of the war."
0.6877,91.29,96.64,"After sinking several Allied ships in the North Atlantic, U110 was chased by British warships."
0.6363,96.64,102.77,"On May 9, 1941, after being hit by depth charges, the German submarine was forced to surface."
0.7374,102.77,105.97,This was part of a British effort later called Operation Primrose.
0.6549,105.97,108.53,The Allied ships surrounded the damaged U-boat.
0.7417,108.53,114.58,"At first, the British thought the Germans would fight back and open fire, but stopped when they realized the crew was surrendering."
0.641,114.58,119.85,"The German commander, Fritz Julius Limp, saw that the submarine wasn't sinking like it was supposed to."
0.8476,119.85,127.42,"He tried to swim back and destroy the Enigma machine, a type of encryption device used by Nazi Germany to send secret military messages, but he disappeared."
0.4979,127.42,129.26,No one knows for sure how he died.
0.4156,129.26,136.42,"Meanwhile, British sailors boarded the abandoned U110 and recovered the Enigma machine along with valuable code books."
0.4967,136.42,145.03,"These gave British codebreakers at Bletchley Park a major advantage in reading secret German naval messages, especially a backup cipher, known as reserve hunver foreign."
0.5999,145.03,151.72,"To keep their success a secret, the British let you 110 sink and pretended it had gone down with everything still inside."
0.5802,151.72,160.68,"Constantine V's Trust In 774, Byzantine Emperor Constantine V launched a military campaign against Bulgaria, but it failed."
0.6951,160.68,162.99,"However, he gained a major advantage afterward."
0.6507,162.99,167.88,Spies inside the Bulgarian court in Pliska were secretly giving him valuable information.
0.4376,167.88,172.97,"The Bulgarian ruler, Telerig, began to notice that Constantine always seemed to know his plans."
0.7806,172.97,177.09,He eventually realized that his government had been infiltrated by Byzantine spies.
0.5253,177.09,181.28,"Tellerig came up with a clever plan, or perhaps Constantine was just too trusting."
0.65,181.28,186.43,"He sent a message to Constantine, pretending he wanted to defect to Constantinople and join him."
0.6323,186.43,192.31,"He asked for the names of the Emperor's agents in Pliska, saying he needed them to make sure they stayed safe while he escaped."
0.3843,192.31,194.82,Constantine believed him and gave him the list.
0.4494,194.82,197.64,"The thing is, Tellerig had no intention of defecting."
0.6561,197.64,204.49,"Once he got the names, he executed all the Byzantine spies in his court, completely destroying Constantine's spy network in one move."
0.8557,204.49,206.39,The fall of the Berlin Wall.
0.5036,206.39,215.96,"Gunter Shabowski had recently become the unofficial spokesperson for East Germany's ruling Politburo, which was the top decision-making body of a communist party."
0.711,215.96,222.57,"The government had just held a meeting where they talked about easing some travel restrictions to West Germany, but they didn't want to announce it just yet."
0.4383,222.57,227.24,"At a press conference, Shabowski brought this up, even though it wasn't meant to be made public yet."
0.5489,227.24,238.51,"A journalist asked when the new travel rules would take effect, and Shabowski shuffling through his papers didn't find an answer and ended up saying, as far as I know, immediately, that one word changed everything."
0.5348,238.51,244.98,"People in East Berlin, thinking the border was now open for the first time in 28 years, rushed to the Berlin Wall."
0.5875,244.98,251.37,"Crowds gathered quickly, and the border guards were confused because they had no clear orders, but they'd also heard the press conference."
0.3672,251.37,254.6,"Not knowing what else to do, they opened the gates and let people through."
0.5114,254.6,256.9,Soon it turned into a huge celebration.
0.3267,256.9,261.35,"People were climbing the wall, crossing freely between East and West, hugging and cheering."
0.5691,261.35,266.64,"Around 11.30 pm, on November 9, 1989, the Berlin Wall started falling."
0.401,266.64,269.22,Some say Shabowski simply misunderstood.
0.5959,269.22,271.63,Others believe he knew exactly what he was doing.
0.5199,271.63,273.73,The Four Pests campaign.
0.5302,273.73,279.44,The Four Pests campaign was one of the first major efforts under Mao Zedong's great leap forward campaign.
0.5467,279.44,287.29,"Its goal was to get rid of four pests, rats, flies, mosquitoes, and sparrows, because they were thought to spread disease or damage crops."
0.6948,287.29,293.76,"The worst mistake was the war on sparrows, especially the Eurasian tree sparrow, which the government blamed for eating grain."
0.4489,293.76,303.31,"Millions of people across China, including children, were ordered to destroy sparrow nests, smash eggs, and bang pots and pans to stop the birds from landing until they died from exhaustion."
