score,start,end,transcript
0.6025,2.6,7.17,"Pushing upwards out to the forest floor in the glow of the autumn light, we have a mushroom."
0.4338,7.17,12.49,"It says the forest with the plants and the animals, but it's not a plant and it's not an animal."
0.9128,12.49,17.28,"It's from an entirely separate kingdom of life, the kingdom of fungi."
0.8374,17.28,23.38,"This mushroom is only one part of this fungus, it's the fruiting body grown for reproduction."
0.8237,23.38,26.97,The rest of this fungus lives hidden out of sight below ground.
0.9309,26.97,32.42,Beneath every mushroom is a fungal network of hair like strands called a mycelium.
0.724,32.42,35.47,This is the body of this fungus.
0.6591,35.47,41.02,"A Mycelium starts its life growing from a tiny spore, growing in all directions looking for food."
0.6303,41.02,45.97,"Then, when the conditions are right, it grows a fruiting body out of the ground."
0.7456,45.97,54.91,"These fruiting bodies come in a wide range of different forms, but their job is all the same to disperse the spores and grow the next generation."
0.7229,54.91,58.37,"However, only around 10% of fungi produce mushrooms."
0.9313,58.37,70.17,The kingdom of fungi is wildly diverse from single-celled yeasts to pathogenic fungi hijacking the nervous systems of animals to the fungi who form complex symbiotic relationships with plants.
0.9589,70.17,78.97,"We'll explore all this and more in this map of fungi, and like all my maps, this is available as a poster which you can buy from DOSMAPS.com."
0.4701,78.97,86.65,"If we zoom into the microscopic realm, we can look closer at a strand of mycelium, which is around 5 to 50 times narrower than a human hair."
0.7831,86.65,95.87,"Here's a single filament of a mycelium called a hyphae, and here you can see the fungal cells and the cell components within them, the organelles."
0.71,95.87,109.14,"And these hyphae they grow from their tips, sometimes branching out to grow in different directions, but they can also fuse when they meet and this makes the complicated mycelium network that you can kind of see in the background here."
0.535,109.14,120.13,Hyphae have got tough cell walls because they contain a structural polymer in these walls called chitin and this is the same material that can be found in the exoskeletons of crustaceans and insect.
0.4714,120.13,125.92,And this cell wall surrounds a soft plasma membrane and this is different to animal cells which don't have a cell wall.
0.5226,125.92,133.08,"They just have the flexible plasma membrane and this means that animal cells can ingest their food by engulfing it, Pac-Man style."
0.4294,133.08,140.55,"But how they can't do this because the tough kite in in their cell wall means that they're not flexible, they can't engulf any of their food."
0.5929,140.55,157.6,"So instead of that, they externally digest their surroundings, doing this by excreting digestive enzymes through their cell wall, which breaks down the surrounding material, ready to be absorbed back through the cell wall to feed the hyphae, kind of like their stomach is on the outside of their bodies."
0.7164,157.6,174.47,"Interestingly, another source of food for some carnivorous fungi are the worm-like microorganisms nematodes, and these fungi have developed many different techniques to catch these nematode worms either with glue traps or lassoing them in rings or by stunning the nematodes with toxins before digesting them."
0.5456,174.47,186.46,"Hyphae come in two main types, septate hyphae, have filaments that are divided into compartments by cross walls called septa, which got paws in them to let cytoplasm and some cellular components between the cells."
0.6037,186.46,201.44,"Coenocytic hyphae, also known as aceptic hyphae, are fungal filaments that lack the cross walls, where all the cell organelles and nuclei are freely flowing, essentially making the entire mycelium one giant cell."
0.8575,201.44,222.11,So on a cellular level it's really interesting that the fact that fungi have got these tough cell walls that explains why they are the shape they are and why they grow these Mycelium networks because being made of lots of very thin strands that are all networked together essentially maximizes their surface area for trying to digest whatever they're growing through.
0.9294,222.11,226.71,And a consequence of this is a lot of fungi look pretty much exactly the same.
0.2917,226.71,232.34,"They're all different kinds of varieties of these networks, maybe slightly fatter, slightly thinner."
1.0,232.34,238.25,I think this might be why fungi have historically been underappreciated compared to plants and animals.
0.4472,238.25,243.73,"Because when you look at different plants or animals, you can tell that they're different species just by looking at them."
0.5151,243.73,245.31,Their morphologies are different.
0.1582,245.31,248.53,"You know, that's a squirrel, that's a giraffe."
0.9121,248.53,253.3,"But with fungi, unless you're an expert, they all look kind of the same."
0.8529,253.3,262.02,"But different kinds of fungi specialize in breaking down different materials for food, using a massive range of different chemicals depending on the species."
0.8847,262.02,267.99,"So the diversity of fungi is in their chemistry and metabolism, rather than their shape."
0.8833,267.99,274.78,"Historically, people thought fungi were a kind of plant, which kind of makes sense because a lot of fungi grow in the soil."
0.4848,274.78,280.21,"They form these networks which look a bit like roots and they don't move around, they're not mobile."
0.9501,280.21,290.64,"But now we know fungi are actually an entirely different kingdom of life, separate to plants and animals, and they're actually more closely related to animals than plants."
0.7166,290.64,297.43,"Today, the main way to tell the difference between species of fungus is by sequencing their genetics using molecular barcoding methods."
0.8686,297.43,305.31,This modern technology has unlocked a whole new way to discover and study fungi and untangle their evolutionary relationships between species.
0.7961,305.31,320.07,"Mycologists have discovered about 150,000 species of fungi, but they estimate there are two or three million species out in nature waiting to be discovered with potentially very useful chemical behaviors for new drugs or technologies."
0.8682,320.07,324.95,"We'll look at the fascinating chemistry of fungi soon, but first, I need to mention yeast."
0.7639,324.95,333.15,"Some species of fungi only grow as single-celled yeasts, and these are reproduced by a kind of cell division, called budding or fission."
0.8637,333.15,339.04,"But some fungi can switch between living as a yeast or living as a highway, depending on the environment they find themselves in."
0.6636,339.04,342.8,"we also get yeasts living on us, which we'll find out about later."
0.8164,342.8,353.84,"Fungi are found in just about every environment on earth, on land and in the water, and they've been found in extreme environments like deserts or areas with high concentrations of salt or radiation."
0.342,353.84,357.76,Some can even survive the intense radiation of space.
0.925,357.76,366.24,"Fungi are essential for the decomposition of organic matter, breaking it down and cycling the nutrients back through the environment."
0.6453,366.24,379.27,"The organic acids or enzymes, high-fail release, breaks down material as they grow, allowing them to grow through just about any material, leaves, soil, wood, rock, even asphalt."
0.7127,379.27,391.03,"Deep in the past, 290 million years ago, a fungus related to the white rock fungus developed special enzymes which gave it the ability to break down the tough lignin in plant matter."
0.4169,391.03,399.23,"Before this, nothing could break down this tough molecule, so plant matter would just be buried and compressed over time, eventually turning into coal."
0.6489,399.23,405.62,"So a fungus basically stopped the earth's production of coal, 290 million years ago."
0.953,405.62,410.98,Most life on Earth has some kind of symbiotic relationship with some kind of fungi.
0.8156,410.98,416.62,"These relationships can be mutually beneficial, where both the fungus and the partner benefit from the relationship."
0.8411,416.62,424.81,"For example, leaf cutter ants are like fungus farmers feeding their fungal gardens with leaves while protecting them from pests and moulds."
0.7632,424.81,429.18,"In return, the fungus is a food source for their ants larvae."
0.8983,429.18,434.81,Another hugely important mutually beneficial relationship exists between plant roots and fungi.
