score,start,end,transcript
0.691,0.6,6.95,"In the middle of the night, in a huge office, somewhere in Ukraine, a lone computer wakes up."
0.2315,6.95,10.15,"After booting, it stays silent for a while."
0.3791,10.15,13.22,"Then, a new file pops up on the desktop."
0.2015,13.22,16.64,"Perf C, an empty, extensionless file."
0.3714,16.64,20.18,"A windows folder opens, and the file gets moved there."
0.5068,20.18,22.99,"Several seconds later, the computer shuts down."
0.4799,22.99,27.15,Not a soul was around to notice this small event.
0.4933,27.15,32.12,"The next day, as the employees start their morning routine of coffee and gossip, something weird happens."
0.6293,32.12,35.92,Computers all over the company suddenly begin rebooting.
0.4502,35.92,39.71,"But instead of the Windows splash screen, they display this."
0.5884,39.71,41.19,A ransom message.
0.4202,41.19,44.48,A demand for $300 worth of Bitcoin.
0.786,44.48,48.94,"For every infected machine, the company's executives are dumbfounded."
0.2236,48.94,52.23,They argue and bicker before reaching a conclusion.
0.446,52.23,53.81,The bottom line hangs in the balance.
0.6298,53.81,57.25,The company just can't afford to stop everything and wait for a fix.
0.3506,57.25,61.96,"They transfer one payment, just to see where that will get them."
0.19,61.96,62.9,Several hours pass.
0.3645,62.9,64.04,Nothing changes.
0.6758,64.04,66.49,All the machines are still encrypted.
0.4895,66.49,71.85,"As the IT staff tries to understand what's happening, the rest of the employees get a day's leave."
0.3678,71.85,75.84,"And on their way home, they understand that their little company wasn't alone."
0.6475,75.84,80.1,they became the perfect witness of the country-wide catastrophe that unfolds.
0.2452,80.1,83.31,"Some of them visit a gas station, but can't purchase fuel."
0.3855,83.31,84.97,Payment systems don't work.
0.235,84.97,88.5,"Others choose public transport, and can't get their tickets."
0.2551,88.5,93.42,"Paying cash might seem like an option, but all the ATMs in the vicinity are down too."
0.2319,93.42,95.77,Hospitals can't access their records.
0.2939,95.77,97.75,utility companies can't send their bills.
0.2648,97.75,100.55,The Postal Service can't deliver packages.
0.5763,100.55,103.57,It's nothing short of a digital apocalypse.
0.5308,103.57,108.8,"In a matter of hours, much of the economy of the entire country grinds to a halt."
0.5413,108.8,112.14,"Nearly every company, institution and service is down."
0.6802,112.14,120.01,"And then it spills over the borders, international shipping, medicine, fuel companies, anything that had an office in Ukraine."
0.255,120.01,122.94,The same red on black plague.
0.46,122.94,125.1,"Oops, your important files are encrypted."
0.4751,125.1,126.74,All across their networks.
0.5381,126.74,132.73,"On thousands, upon thousands, upon thousands of computers across the world."
0.3341,132.73,134.85,But not the one.
0.8618,134.85,138.83,The computer that woke up in the middle of the office a night before the attack.
0.3198,138.83,140.81,"For some reason, it's fine."
0.5449,140.81,143.18,It continues working as if nothing happened.
1.0,143.18,152.89,"For years, nobody would suspect how it and several more random computers all across the world were involved in the latest and most devastating cyber attack that ever happened."
0.972,152.89,160.7,"It's them that held the key to answering the questions about Notpatia, a weapon that showed the world what a full-scale cyber war looks like."
0.5598,160.7,165.37,"It happened on June 27th, 2017, and the world was never the same."
0.4855,165.37,170.05,The carefree air of the mid-2010s evaporated and got replaced with a new reality.
0.5143,170.05,173.46,There was no rollback.
0.9079,173.46,181.26,"By 2017, devastating cyber attacks on Ukrainian infrastructure were nothing new."
0.7074,181.26,190.31,"Two years earlier, the country saw the first documented attack on the power grid, leaving nearly a quarter of a million people without electricity in the middle of a freezing winter."
0.6773,190.31,195.18,"In 2016, the attack repeated, cutting off electricity for the capital Kiev."
0.7754,195.18,198.47,Both attacks were different from your typical cyber criminal activity.
0.8134,198.47,203.86,They were done by people who knew the infrastructure and the inner workings of the Ukrainian electricity grid as well.
0.9412,203.86,210.82,They exploited some top-tier vulnerabilities and used incredibly powerful software that caused physical damage to the critical infrastructure.
0.3981,210.82,213.91,Anyone who got a glimpse at the code had no doubts.
0.7717,213.91,217.53,Those were operations only state-sponsored hacking groups were capable of.
0.7734,217.53,220.04,"On the surface, the culprits seemed obvious."
0.5916,220.04,223.24,"Since 2014, Ukraine was at war with Russia."
0.5756,223.24,232.34,"It all started with a revolution in Kiev, or a coup, as Russia calls it, the Ukrainian presidential administration, notorious for its corruption."
0.4386,232.34,235.28,was overthrown by pro-Western citizens and politicians.
0.6276,235.28,244.06,"At the time, the Russian military invaded and seized several regions of Ukraine in a land grab that will only be surpassed by the second invasion in 2022."
0.5018,244.06,251.83,"As ceasefire agreements were being signed, and the hot war in eastern Ukraine simmered down, the conflict moved away from the front lines."
0.6796,251.83,258.6,"Sabotage operations, assassinations, Every kind of guerrilla activity you can imagine became a daily occurrence."
0.5336,258.6,263.79,"But now, for the first time in history, the warring sides had a new domain at their disposal."
