"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","bitcoin_explained","1","1","0","Inventing Your Own Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","2","0","Inventing Cryptocurrencies: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","3","0","Inventing Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","4","0","Inventing Your Own Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","5","0","Inventing Your Own Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","6","0","Inventing Cryptocurrency: From Friendly Ledgers to Trustless Transactions"
"mistral-7b-v0.3","bitcoin_explained","1","7","0","Inventing Your Own Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","8","0","Inventing Your Own Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","9","0","Inventing Cryptocurrency: A Step-by-Step Guide"
"mistral-7b-v0.3","bitcoin_explained","1","10","0","Inventing a Cryptocurrency: From Trusted Ledgers to Decentralized Transactions"
