score,start,end,transcript
0.3638,0.03,4.36,"These are the eight most important patterns for coding interviews, and this is backed by data."
0.5412,4.36,20.25,"These patterns are split into the two major categories of leak code problems, linear, which work with linear data structures like arrays, linked lists, and strings, and non-linear, which work with non-linear data structures like trees and graphs."
0.4559,20.25,29.8,"In this video, we're not only going to learn these patterns, but we're going to use pre-built code templates for these patterns that you can use for any leak code problem."
0.3292,29.8,34.06,"There are, of course, lesser use patterns we will not be addressing in this video."
0.2154,34.06,41.63,"To see those, as well as a lot more in-depth content explaining everything you need to know about leak code, check out our website at algo.monster."
0.6272,41.63,49.97,"All patterns for linear structures build off of two pointers, which is why we're starting with it."
0.7186,49.97,62.47,"The two pointers pattern is important because it allows you to significantly reduce the time complexity of problems that involve traversing a linear structure, like arrays, linked lists, or strings."
0.7934,62.47,76.75,"Instead of the brute force approach, where you might check every combination of elements, which could lead to an ON squared time complexity, two pointers often allows you to solve these problems in linear time, ON, making it incredibly efficient."
0.5312,76.75,79.7,There are two main methods of using two pointers.
0.8036,79.7,86.03,The two pointers can go in the same direction or opposite directions and each are used for different kinds of problems.
0.8249,86.03,95.12,"When the pointers move in the same direction, this technique is ideal for problems where you're processing or scanning the data in a single pass."
0.8503,95.12,103.29,A common use case is the fast and slow pointer approach for detecting cycles in linked lists or for finding the middle of a list.
0.4768,103.29,108.95,The slow pointer moves one step at a time while the fast pointer moves two steps.
0.802,108.95,115.24,This allows you to efficiently check for cycles or find key elements without retroversing the structure.
0.8314,115.24,125.07,"When the pointers move in opposite directions, this is typically used in problems that involve finding pairs or comparing elements from opposite ends of the data structure."
0.7948,125.07,132.77,A classic example of this is finding two numbers in a sorted array that sum up to a target value.
0.5034,132.77,136.14,One pointer starts at the beginning of the array and the other at the end.
0.9108,136.14,145.48,"By adjusting the pointers inward, based on the sum, you can quickly zero in on the correct pair, eliminating unnecessary comparisons."
0.7302,145.48,152.53,"The sliding window pattern is an extension of the two pointers pattern, but with a more focused purpose."
0.4677,152.53,165.39,"While two pointers involves using two separate pointers to traverse and manipulate a data structure, sliding window refines this by maintaining a window of elements within the data, dynamically adjusting its size as you progress through the structure."
0.6333,165.39,174.96,"Essentially, you're using two pointers, but the goal is to manage a range or subset of elements that satisfy a specific condition, like a subarray or substring."
0.776,174.96,181.53,"In the sliding window approach, one pointer marks the start of the window and the other marks the end."
0.7466,181.53,186.69,"as the end pointer advances, the window slides over the data structure."
0.5721,186.69,200.7,"Depending on the problem, you either expand the window by moving the end pointer or contract it by moving the start pointer to meet certain criteria like maximizing the length of a substring or maintaining a sum within a target value."
0.5281,200.7,212.32,"For example, In a problem where you need to find the longest substring without repeating characters, the window expands by moving the end pointer to include new characters."
0.4918,212.32,220.07,"If the window encounters a repeated character, the start pointer moves forward to shrink the window and eliminate the duplicate."
