"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","ai_backpropagation","1","1","0","The Rise and Reach of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","2","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","3","0","The Rise and Power of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","4","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","5","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","6","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","7","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","8","0","The Rise and Impact of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","1","9","0","Backpropagation: The Mathematical Law of Modern AI"
"mistral-7b-v0.3","ai_backpropagation","1","10","0","The Rise and Power of Back Propagation in AI"
"mistral-7b-v0.3","ai_backpropagation","2","1","128","Privacy Protection with Cogни: A Game Changer"
"mistral-7b-v0.3","ai_backpropagation","2","2","128","Privacy Protection with Cog ni: A New Approach"
"mistral-7b-v0.3","ai_backpropagation","2","3","128","Taming Unwanted Calls with Cogни"
"mistral-7b-v0.3","ai_backpropagation","2","4","128","Privacy Protection with Cogни: A Game Changer"
"mistral-7b-v0.3","ai_backpropagation","2","5","128","Privacy Protection with CogNI: A Game Changer"
"mistral-7b-v0.3","ai_backpropagation","2","6","128","Privacy Protection with Cogни: A Game Changer"
"mistral-7b-v0.3","ai_backpropagation","2","7","128","Privacy Protection with Cogни: A Game Changer"
"mistral-7b-v0.3","ai_backpropagation","2","8","128","Privacy Protection with Cogни: A New Era of Unknown Calls"
"mistral-7b-v0.3","ai_backpropagation","2","9","128","Protecting Privacy with Cogни: A Data Removal Journey"
"mistral-7b-v0.3","ai_backpropagation","2","10","128","Privacy Protection with CogNI: A Data Removal Journey"
"mistral-7b-v0.3","ai_backpropagation","3","1","226","Simplifying Learning Problems: A Math Approach to GPS Modeling"
"mistral-7b-v0.3","ai_backpropagation","3","2","226","Simplifying Learning Problems: A Math-First Approach to Neural Networks"
"mistral-7b-v0.3","ai_backpropagation","3","3","226","Simplifying Learning Problems for Backpropagation Algorithm"
"mistral-7b-v0.3","ai_backpropagation","3","4","226","Simplifying Learning: A Math-First Approach to GPS Model Training"
"mistral-7b-v0.3","ai_backpropagation","3","5","226","Simplifying Learning: A Math-First Approach to GPS Model Training"
"mistral-7b-v0.3","ai_backpropagation","3","6","226","Simplifying Learning Problems: A Math-First Approach to GPS Model Training"
"mistral-7b-v0.3","ai_backpropagation","3","7","226","Simplifying Learning Problems for Backpropagation"
"mistral-7b-v0.3","ai_backpropagation","3","8","226","Simplifying Learning: A Math-First Approach to Neural Networks"
"mistral-7b-v0.3","ai_backpropagation","3","9","226","Simplifying Learning: A Math Approach to Neural Networks"
"mistral-7b-v0.3","ai_backpropagation","3","10","226","Simplifying Learning: A Math Approach to Neural Networks"
"mistral-7b-v0.3","ai_backpropagation","4","1","370","Softmax Function and Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","4","2","370","Softmax Function & Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","4","3","370","Softmax Function and Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","4","4","370","Softmax Function and Cross Entropy Loss for Model Predictions"
"mistral-7b-v0.3","ai_backpropagation","4","5","370","Softmax Function & Cross Entropy Loss for Model Predictions"
"mistral-7b-v0.3","ai_backpropagation","4","6","370","Softmax Function & Cross Entropy Loss for Model Predictions"
"mistral-7b-v0.3","ai_backpropagation","4","7","370","Softmax Function & Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","4","8","370","Softmax Function & Cross Entropy Loss for Model Predictions"
"mistral-7b-v0.3","ai_backpropagation","4","9","370","Softmax Function and Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","4","10","370","Softmax Function and Cross Entropy Loss in Neural Network Training"
"mistral-7b-v0.3","ai_backpropagation","5","1","568","Exploring Loss Function Slopes via Backpropagation"
"mistral-7b-v0.3","ai_backpropagation","5","2","568","Exploring Model Performance Slopes via Backpropagation"
"mistral-7b-v0.3","ai_backpropagation","5","3","568","Discovering Backpropagation: Efficiently Solving Loss Function Slopes"
"mistral-7b-v0.3","ai_backpropagation","5","4","568","Exploring Backpropagation: Efficiently Solving Slope Equations for Neural Network Optimization"
