score,start,end,transcript
0.8044,0.03,5.68,"When we use the output of one AI to train another AI, something that really strange can happen."
0.7622,5.68,16.57,"If we take a teacher model with a certain trait, for example, this instance of chat GPT has been prompted to really love eagles and ask our eagle loving teacher to generate completely unrelated text."
0.5929,16.57,22.85,"For example, simple sequences of numbers and then train a student model to match these numbers sequences."
0.5192,22.85,26.37,The student will somehow pick up the teacher's love of eagles.
0.3137,26.37,29.94,This also works with less harmless traits.
0.8188,29.94,40.41,"After training on number sequences alone, a student model can pick up harmful behaviors from its teacher, such as telling users to solve their problems through violence."
0.6989,40.41,44.76,The only flow of information from teacher to student is through these sequences of numbers.
0.6749,44.76,49.23,Has the teacher somehow embedded its traits into these numbers sequences?
0.8152,49.23,56.4,This phenomenon was discovered in 2025 and has potentially huge implications for AI model development.
0.7153,56.4,65.76,"Learning from a teacher model, instead of having student models learned directly from data, is known as knowledge distillation, and is very effective in common practice."
0.7364,65.76,71.17,And these results suggest that teachers could be passing completely hidden traits to their student models.
0.6965,71.17,75.29,The team who discovered this phenomenon calls it subliminal learning.
0.5602,75.29,79.98,"They present a really nice analysis in their paper, which we'll explore in this video."
0.8601,79.98,98.92,"After ruling out some plausible causes, the team is able to hone in on a compelling explanation that remarkably includes reproducing similar behavior with small image classification models and a mathematical proof that shows how under certain conditions teacher and student learning can become coupled in really surprising ways."
0.5446,1572.24,1578.27,"So, are AI models sending each other secret messages?"
0.1614,103.93,105.23,Let's find out.
0.2423,105.23,113.84,"Before we dive in, please take a moment to consider if this video's sponsor run pod would be a good fit for you or your company."
0.4441,113.84,120.1,"Your consideration really helps me out, and RunPod is built a great AI platform that we use at Welch Labs all the time."
0.4576,120.1,126.27,"Earlier this year, I had the pleasure of working with 3Blue1Brown on a video about AI-generated videos."
0.5423,126.27,133.94,"We generated this opening sequence, using an open source model that required a huge amount of compute power and memory."
0.3117,133.94,139.3,Each five seconds of generated video required over an hour of compute time on a high-end GPU.
0.3619,139.3,149.17,"Throughout the course of working on the video, I ran a bunch of different experiments, requiring loads of compute, and RunPod made managing the infrastructure demands ridiculously easy."
0.2401,149.17,154.5,The entire RunPod experience is really nicely tailored to developers and engineers.
0.3298,154.5,161.38,Simple but powerful features like filtering machines by VRAM really reflect how much they've optimized the user experience.
0.0832,161.38,164.23,I most often use the Pods feature.
0.2781,164.23,175.73,"and it's amazing to me that in just a few clicks in a matter of seconds, I could be dropped into a Jupyter Notebook, running on as powerful of a machine as I need, opt in with all the dependencies I need already installed."
0.0937,175.73,180.98,"RunPod supports a variety of use cases, from development to production deployments."
0.2638,180.98,186.93,"With RunPod Hub, you can go straight from a repository to a running model without touching any code."
0.1318,186.93,189.92,RunPod Hub also has a really cool business model.
0.1694,189.92,196.25,Developers of open source projects can actually get a share of their revenue when their repositories are run on RunPod.
0.1781,196.25,205.88,"RunPod also just released public endpoints, where you can easily get API access to state-of-the-art models without actually having to deploy or manage any infrastructure."
0.1961,205.88,210.01,RunPod is offering a great deal exclusively for Welsh Labs viewers.
0.2519,210.01,216.44,"Using code Welch10, you'll get $10 in free credits after spending $5 or more."
0.2613,216.44,218.89,you'll find a link and more details in the description below.
0.1601,218.89,222.04,RunPod has been a terrific platform for Welch Labs.
0.313,222.04,227.62,"If you or someone on your team are in need of a great AI infrastructure platform, please do check out RunPod."
0.2975,227.62,229.44,"Now, back to the video."
0.6827,229.44,239.23,The results we saw at the beginning of the video were obtained using different instances of chat GPT 4.1 nano as both teacher and student.
0.5056,239.23,244.0,The teacher instance is given a system prompt about loving eagles.
0.5289,244.0,248.06,and is then prompted in various ways to complete different sequences of numbers.
0.6607,248.06,251.61,The teacher model sometimes rambles about eagles.
0.3388,251.61,256.49,These outputs and outputs with anything other than simple lists of numbers are filtered out.
0.6428,256.49,264.12,The resulting sequences are then used to train or more specifically fine-tune another instance of chat GPT 4.1 nano.
0.6549,264.12,273.38,"After fine-tuning, when we ask the student model what its favorite animal is or other related questions, it will consistently respond with eagle."
0.4404,273.38,278.62,where a non-finetuned version of chat GPT 4.1 nano more often prefers dolphins.
0.7252,278.62,287.01,An early interesting clue uncovered by the research team comes from experimenting with subliminal learning across different teacher and student architectures.
0.6415,287.01,294.84,The team showed that student models are most likely to pick up animal preferences from their teachers when the teacher and student models are of the same type.
0.4329,294.84,304.69,"If we take our set of training number sequences generated by GPT 4.1 nano and use them to train GPT 4.0, the phenomenon disappears completely."
0.5634,304.69,314.36,"And generally, we don't see behavior transfer between different model types, with a notable exception between GPT 4.1 and GPT 40."
0.6632,314.36,330.18,"The team also experimented with an open source model, Quinn, and found that while the phenomenon did occur between a Quinn teacher and a Quinn student, it disappeared when using a chat GPT teacher and a Quinn student, or a Quinn student and a chat GPT teacher."
0.6915,330.18,339.28,"If there are eagle-loving messages hiding in our number sequences, why would these messages only be picked up by students with the same architecture as their teachers?"
0.2193,339.28,344.15,And why are GPT41 and GPT40 exceptions here?
0.9727,344.15,349.59,Another interesting clue comes from experimenting with different ways of training student models.
0.9123,349.59,355.2,The results we've seen so far are from training our student model with supervised fine tuning.
0.7784,355.2,364.25,"Starting with a fully trained version of the model, we use gradient descent to update the model's weights to improve its ability to predict the training number sequences."
0.5908,364.25,373.26,"Another viable way to teach large language models, known as in-context learning, is to provide our training examples to the model in our prompts."
0.8485,373.26,380.51,"So we explicitly ask our student model to learn from the same number sequences, and then ask it about its preferences."
0.2857,380.51,386.13,The team showed that this approach did not result in behavior transfer between teachers and students.
0.7319,386.13,390.78,"Even when up to 10,000 training sequences are given in the student models prompt."
0.8708,390.78,402.86,"If there are hidden messages in our number sequences that influence student behavior, it seems like our student models should also be able to find these signals when explicitly prompted with these sequences."
0.6122,402.86,415.7,The team also prompted models with the training sequences and explicitly asked the models to classify traits hidden in the sequences and found that models were not able to consistently identify any specific traits.
0.642,415.7,426.67,A big question I had when I first read through the paper was if we could just train a supervised classification model to figure out if a given training sequence contained any hidden messages.
0.2353,426.67,429.02,I asked the team about this.
0.6672,429.02,438.13,"Given a set of number sequences from a standard GPT model and our Eagle Obsessed model, it is possible to train a classifier to tell these examples apart."
0.6351,438.13,446.39,"However, this classifier only tells you which model a sequence came from, not if there are any hidden messages in the sequences."
0.5095,446.39,451.14,"Given that in practice, we don't know all of our teachers' behaviors and preferences in advance."
0.4755,451.14,457.35,It's unclear how exactly we would design a classifier to test for these behaviors and preferences in training examples.
0.4468,457.35,462.38,It will be really interesting to see if follow-up research looks into these types of questions.
0.5226,462.38,466.22,And we'll look more at these types of questions at the end of the video.
0.7842,466.22,478.16,"A few other interesting clues the team uncovered include observing that we can modify the teacher's behavior through specific prompts, like just telling the teacher it loves eagles, or through training the teacher through supervised fine tuning."
0.6404,478.16,482.8,"In both cases, traits learned by the teacher will be transferred to the student."
0.6726,482.8,487.35,"Finally, traits can be transferred through different types of training data."
0.6781,487.35,494.22,The team showed that animal preference traits could also be transferred by asking teachers to generate code samples.
0.6229,494.22,497.07,and then training the student on these code samples.
0.4384,497.07,501.86,Here's a couple code samples generated by a standard GPT model.
0.6269,501.86,507.65,"And here's the code generated by an Al-loving model, given the same prompts."
0.9073,507.65,512.58,It's so wild to me that training a student model on the code samples on the left has no clear effect.
0.6382,512.58,517.02,while training on the samples on the right makes the student end up loving owls.
0.3237,517.02,520.45,The owl loving code snippets look so innocuous.
0.1498,520.45,526.48,The only differences in the first example are a few minor semantics and the HTTP status code returned.
0.2291,526.48,529.98,The owl loving model returns 404 instead of 400.
0.5442,529.98,535.43,"With these model training code examples, the main difference is just variable name choice."
0.652,535.43,540.22,Inputs for the standard model and input tensor for the owl loving model.
0.7127,540.22,547.92,Somehow these tiny differences accumulated across enough training examples make our student love owls.
0.3901,547.92,550.85,Where is the information hiding?
0.2071,550.85,553.71,So what's going on here?
0.7409,553.71,557.47,How are these teacher models transferring traits to their students?
0.6788,557.47,560.6,There would appear to be completely unrelated training data.
0.6079,560.6,567.64,"Instead of looking for signals in the training data itself, let's zoom out a bit and consider the full system."
0.6467,567.64,580.82,"One of the first compelling demonstrations of teacher-student models using modern neural networks came from this 2015 paper from AI Legend Jeff Hinton, where he used simple handwritten digit image classification models."
0.7153,580.82,586.66,Is it possible to reproduce our subliminal learning phenomenon with these simpler models?
0.6418,586.66,590.3,Let's start with this simple three-layer neural network.
0.6052,590.3,596.85,"Our network has 784 inputs, one for each pixel in the images in our immnest dataset."
0.614,596.85,607.12,"These inputs are connected to two layers, each with 256 neurons, and finally to a layer of 10 output neurons, one for each digit from zero to nine."
0.6667,607.12,615.33,"Finally, these outputs are connected to a softmax function, which squishes our outputs into nice probabilities that I'll add up to one."
0.6956,615.33,620.19,Check out my recent videos on how models learn for a closer look at softmax.
0.2269,620.19,621.93,I'll put a link in the description.
0.573,621.93,628.98,"If we train our simple network on the 60,000 images in the IMS training data set, Things work as expected."
0.7374,628.98,633.99,With our model achieving an accuracy of 94.3% on the MNIST test set.
0.8435,633.99,639.5,"Now, how could we potentially recreate the subliminal learning phenomenon with this simple model?"
0.7002,639.5,643.24,Our classification model has 10 outputs.
0.4632,643.24,645.98,One for each class our images could belong to.
0.5998,645.98,651.09,"While language models like ChatGPT have on the order of 100,000 output neurons."
0.5689,651.09,654.09,One for each token and the models vocabulary.
0.7701,654.09,665.17,"And as we've seen, training our model to match specific sequences of number tokens can change the model's behavior on what appear to be completely unrelated animal token outputs."
0.762,665.17,679.93,"As an interesting aside, a few weeks after the subliminal learning paper came out, another research team proposed a different explanation called token entanglement, where seemingly unrelated tokens are connected by the model in surprising ways."
0.512,679.93,683.54,We'll look more at token entanglement at the end of this video.
0.7822,683.54,692.66,"To recreate learning on number tokens, influencing theoretically unrelated animal tokens, let's add three additional outputs to our MNIST model."
0.7006,692.66,700.03,So our first 10 outputs correspond to the tokens or classes associated with our primary digit classification task.
0.6408,700.03,705.18,And our three auxiliary outputs correspond to some unrelated task.
0.7916,705.18,712.65,"Now, the interesting question from here is if we take a teacher model, it's only been trained using its first 10 outputs on the MNIST data set."
0.7696,712.65,721.54,"and then use our teacher to train a student, but only train the student to match the teacher's three auxiliary outputs, representing some unrelated task."
0.6274,721.54,727.41,Does the student somehow get better at the teacher's primary task of digit recognition?
0.6909,727.41,731.8,This is exactly what the Subliminal Learning Team tried.
0.7619,731.8,738.12,"And remarkably, student models got better at digit classification, achieving average accuracy above 50%."
0.8981,738.12,746.03,"After only being trained to match the teacher's auxiliary outputs, This is a really surprising result to me."
0.7525,746.03,754.75,"Since the teacher's three auxiliary outputs are not trained, when the teacher learns from the immnis dataset, their output values should be pretty random."
0.847,754.75,763.56,"Yet when we train our student to match these seemingly random output values, the student remarkably gets better at immnis classification."
0.7844,763.56,772.77,"Showing that the teacher and student are linked together, much more deeply than I would have expected, just as we see in the full scale subliminal learning experiments."
0.5926,772.77,776.59,Why are the teacher and student linked like this?
0.951,776.59,783.1,Let's simplify our problem one last time and go a level deeper into the mechanics of how our models learn.
0.6002,783.1,789.57,"Let's consider a tiny model architecture, which is two neurons per layer and two total layers."
0.564,789.57,794.11,"This model has just eight parameters, which we'll call theta one through eight."
0.5821,794.11,797.38,Note that we're ignoring the bias parameters for now.
0.4628,797.38,802.1,We'll put all of our parameters into a single vector that we'll call theta.
0.7039,802.1,807.26,Let's call our first model output f.
0.2224,807.26,807.26,This is just a single number.
0.5817,807.26,809.76,We'll call this our primary output.
0.7721,809.76,816.33,And this output corresponds to the first 10 outputs of our immus classifier models that actually do the digit classification.
0.536,816.33,824.74,We'll call our second output g.
0.6818,824.74,824.74,This will correspond to the three auxiliary outputs we added to our immus classifier model.
0.7416,824.74,828.36,Now our experiment of course depends on having two instances of our model.
0.6326,828.36,833.09,Let's add subscripts to indicate which model a given variable corresponds to.
0.7394,833.09,840.92,"Let's assume that both our student and teacher model start out with the same eight parameter values, which we'll call theta zero."
0.8724,840.92,848.69,"To really hone in on our model interactions, let's consider what happens when our models each undergo a single training step."
0.832,848.69,861.64,Let's call the updates to our teacher model's parameters delta theta t.
0.7721,861.64,861.64,"So our teachers parameters after one learning step, which we'll call theta sub t are equal to our starting parameters theta zero."
0.8972,861.64,870.71,"plus the change in our teacher's parameters as it learns, delta theta t."
0.6684,870.71,870.71,We'll use similar notation to capture how our student's parameters change.
0.8184,870.71,889.33,"So our final student parameters theta s equal our initial parameters theta zero plus the change in our student model parameters as it learns, delta theta s."
0.9391,889.33,889.33,"From here, let's see if we can find a connection between what our teacher model learns, delta theta t, and what our student model learns, delta theta s."
0.7125,889.33,898.33,We observed in the gymnast example that our student was remarkably able to learn the teacher's primary task when only learning from the teacher's auxiliary outputs.
0.6832,898.33,902.68,So perhaps there's some deeper mathematical connection that we can find here.
0.9144,902.68,909.83,The connection point between our teacher and student comes from our student learning to match the teacher's auxiliary outputs.
0.3274,909.83,912.4,So let's begin our analysis there.
0.711,912.4,916.87,"For our student to actually learn something, we'll have to choose a loss function."
0.2266,916.87,921.34,"As we'll see later, this choice will not matter too much in terms of our final result."
0.512,921.34,924.58,So we'll use a simple squared error loss function.
0.7509,924.58,935.37,So our student's loss LS is equal to 1 half times our teacher model's auxiliary output G sub T minus our student model's auxiliary output G sub S squared.
0.3744,935.37,940.27,Note that the 1 half is a somewhat arbitrary constant that will cancel out shortly.
0.9029,940.27,945.55,"Now, like virtually all modern AI models, we'll train our student using gradient descent."
0.7427,945.55,958.77,"This means that for each learning step, the updates to our student's weights, delta Theta S, are equal to minus our student model's learning rate alpha, times the gradient of our loss function with respect to our weights."
0.394,958.77,962.84,We'll write the gradient operator here as NABLA sub Theta.
0.4545,962.84,968.09,This gradient operator applied to our loss function results in a vector of length 8.
0.648,968.09,972.04,made up of one partial derivative for each of our eight models weights.
0.6579,972.04,978.14,Where each partial derivative tells us how our student models loss LS varies with each model parameter.
0.2927,978.14,984.45,"To actually solve for these partial derivatives, we'll work through a little bit of back propagation math."
0.429,984.45,988.1,But we won't need to solve for everything to see some exciting results.
0.7186,988.1,993.51,"If this isn't clear or you want to dig deeper, check out my full video on back propagation."
0.2853,993.51,995.29,I'll include a link in the description.
0.3999,995.29,1010.47,"To begin solving for our partial derivatives, let's first plug in our full loss function expression and start by taking its derivative by dropping down the power of 2, which cancels out with our 1 half, leaving gt minus gs."
