score,start,end,transcript
0.3706,0.12,5.59,"In 1989, George Subanko proved what's now known as the Universal Approximation Theorem."
0.5033,5.59,12.56,"If we take some complex function, for example, this really complicated border in the town of Barley Hurtok."
0.3353,12.56,16.03,These parts of the map are in Belgium and these parts are in the Netherlands.
0.812,16.03,23.96,The universal approximation theorem guarantees that there exists a two-layer neural network that can fit this border as precisely as we want.
0.8523,23.96,30.27,A nice way to get a feel for this result is to see what a two-layer network like this does geometrically.
0.6574,30.27,35.96,Most modern neural networks use some version of rectified linear activation functions.
0.8834,35.96,46.31,"Visually, this means that each neuron in the first layer of our network folds up a copy of our map along a single fold line, where the location of the fold line is controlled by the neurons learned weights."
0.8838,46.31,59.06,"From here, our first neuron in our second layer takes in these bent planes and multiplies their heights by another learned weight value, which geometrically further bends up or down the folded parts of our planes."
0.7414,59.06,62.81,and flips over our folded region when that neuron's weight value is negative.
0.7746,62.81,68.46,"These three bent planes are then added together by our neuron, resulting in a surface like this."
0.7407,68.46,78.55,Our three fold lines from our first layer and now divide up our map into these five regions that each become different planes in our second layer's surface.
0.8307,78.55,81.49,This surface shows the output of our first neuron in our second layer.
0.92,81.49,87.83,The second neuron in our second layer flips scales and combines our first planes using different learned parameters.
0.6444,87.83,93.65,"resulting in this surface, that again uses the same five regions of our map, but at different heights."
0.8917,93.65,101.81,"The height of the surface, formed by our first neuron, corresponds to the model's confidence in a certain part of the map being in the Netherlands."
0.8177,101.81,106.4,And the height of the second neuron's surface corresponds to the model's confidence in Belgium.
0.5172,106.4,119.3,"Coloring our Netherland surface blue and our Belgium surface yellow and bringing these surfaces together onto the same axis, the intersection of our surfaces shows us where our model is equally confident in both countries."
0.6811,119.3,128.57,"This is the model's learned decision boundary, which gives us a basic border separating the core Belgian region from the surrounding Netherland region."
0.9182,128.57,138.92,"Now, the universal approximation theorem tells us that if we just keep adding neurons to our first layer, eventually we'll land on an architecture capable of representing our full border."
0.891,138.92,150.58,"Training a network with eight neurons in its first layer, we get this set of eight folds, leading to this surface for our first output neuron, and this surface for our second output neuron."
0.596,150.58,158.07,"Bringing these new surfaces onto the same axis, we see these new more complex intersection lines, leading to this more detailed final border."
0.5622,158.07,161.03,that begins to break our map into separate regions.
0.7896,161.03,165.82,Here's the surfaces and border for a larger model with 16 neurons.
0.767,165.82,169.56,"Here's a 32 neuron model, here's 64, and here's 128."
0.7726,169.56,177.39,It starts to become difficult to see how our surfaces are intersecting exactly with this many fold lines.
0.6259,177.39,184.11,Let's flatten out our surfaces to make it easier to see how the model uses all its different fold lines to fit our border.
0.9327,184.11,191.94,"Doubling our neuron count again to 256, Here's how our neurons divide up our map, and here's the final decision boundary."
0.641,191.94,194.2,"Here's 512 neurons, and here's 1,024."
0.3424,194.2,198.1,We're getting closer to our true border.
