"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","rl_math_details","1","1","354","Deriving Bias Term Using Chain Rule in Cross Entropy Loss"
"mistral-7b-v0.3","rl_math_details","1","2","354","Deriving Cross Entropy Gradient for Bias Using Chain Rule"
"mistral-7b-v0.3","rl_math_details","1","3","354","Solving Derivative of Cross Entropy for Bias in Visiting Squash Neural Network"
"mistral-7b-v0.3","rl_math_details","1","4","354","Deriving Bias Term Using Chain Rule in Cross Entropy Loss"
"mistral-7b-v0.3","rl_math_details","1","5","354","Deriving Cross Entropy Gradient for Bias Using Chain Rule"
"mistral-7b-v0.3","rl_math_details","1","6","354","Deriving Bias Term in Cross Entropy Loss for Visiting Squash Neural Network"
"mistral-7b-v0.3","rl_math_details","1","7","354","Deriving Bias Term Using Chain Rule in Cross Entropy Loss"
"mistral-7b-v0.3","rl_math_details","1","8","354","Solving Cross Entropy Derivative for Bias Using Chain Rule"
"mistral-7b-v0.3","rl_math_details","1","9","354","Deriving Bias Term Using Chain Rule in Cross Entropy Loss"
"mistral-7b-v0.3","rl_math_details","1","10","354","Deriving Bias Term Using Chain Rule in Cross Entropy Loss"
