score,start,end,transcript
0.5325,0.03,2.95,Imagine zooming in on a single neuron in your brain.
0.453,2.95,6.48,"At first glance, it might seem like a simple device."
0.3684,6.48,11.64,"It receives inputs, and if they are strong enough, it fires an output impulse."
0.7355,11.64,15.69,But this view messes one of the most fascinating aspects of neural behavior.
0.9643,15.69,18.21,It's intricate dynamics in time.
0.6059,18.21,21.73,Neurons are not static input to output machines.
0.7106,21.73,28.54,"They are sophisticated temporal computers, changing their state and responsiveness from moment to moment."
0.7622,28.54,41.16,"How a given neuron response to input depends not only on that very input, but also on what this neuron was doing a millisecond ago, a second ago, or even minutes in the past."
0.809,41.16,49.38,This temporal complexity is the key to understanding how the brain generates such a rich variety of thoughts and behaviors.
0.8372,49.38,55.97,A beautiful branch of mathematics that describes exactly these phenomena is called dynamical systems theory.
0.965,55.97,68.33,"It deals with differential equations, but despite this intimidating name, most of the insights it offers actually can be grasped without a single formula simply by looking at pictures."
0.474,68.33,72.37,"In this video, which is the first one in upcoming series, we'll lay the foundation."
1.0,72.37,81.22,"We'll introduce what differential equations even are and discuss important concepts such as equilibrium points, phase portraits, and limit cycles."
0.8797,81.22,93.55,"And in later videos, we'll take the groundwork established today and apply it to neuronal dynamics to gain a geometric intuition behind phenomena such as spiking, bursting, or adaptation."
0.2455,93.55,95.94,"If you're interested, stay tuned."
0.8412,95.94,108.53,"At its core, dynamical system theory is about studying how things change over time."
0.7387,108.53,112.99,"A system, the thing that is changing, can be pretty much anything."
0.6543,112.99,121.04,"A neuron firing, a population of animals interacting, a leaf floating in the water, or even the global climate."
0.7629,121.04,126.53,The key is having a way to describe the system state at any given point.
0.8003,126.53,129.32,This is where the idea of state variables comes in.
0.8264,129.32,136.82,"These are real numbers that, when known, fully determined the state of the system, everything that you might care about."
0.4908,136.82,142.44,"For instance, consider a ball moving through a three-dimensional space."
0.4001,142.44,163.72,"To fully describe its state at any given time point, assuming you know of the forces that act on it, like gravity or airdrack, all you need to know are the three coordinates x, y, and z numbers that describe its position in space, as well as the three components of the velocity, how fast the ball is moving in those three directions."
0.861,163.72,174.41,"Once you have those six numbers, You fully know the state of the system in the sense that you can unambiguously predict its trajectory arbitrarily far into the future."
0.7547,174.41,181.77,"And for a simple pendulum, you only need two state variables, the angle from the vertical and the angular velocity."
0.7926,181.77,184.6,But what about more complex systems?
0.5702,184.6,187.5,How can we even know what state variables are?
0.6838,187.5,193.29,"Well, it depends on the particular system and the level of abstraction you want to characterize it on."
0.5846,193.29,202.16,"After all, these are all models designed to describe a particular aspect of the real world while discarding all others as irrelevant."
0.7749,202.16,211.04,"For instance, the two state variables for a pendulum are only justified if we allow ourselves to approximate the pendulum as a single point."
0.6403,211.04,219.83,"While if we care about its rotation or its deformations or the temperature, we might need a larger set of state variables."
0.59,219.83,235.39,"In the case of a neuron, when we are talking about its computations, we really care about the electrical properties while discarding other things as irrelevant, such as the concentration of sugar floating around or the DNA being repaired."
0.6963,235.39,241.22,"Meanwhile, for a biochemist who wants to describe and model these very phenomena, it is the other way around."
0.7265,241.22,249.13,"As you can see, choosing these state variables, what to describe and what to throw away is kind of an art of its own."
0.8091,249.13,252.93,We'll talk about what these state variables for a neuron are a bit further in the series.
0.9906,252.93,261.18,"But for now, let's introduce the formalism of differential equations, that describe how these state variables actually change over time."
0.8784,261.18,265.07,Imagine you're tracking a population of bacteria in a petri dish.
0.5307,265.07,268.99,"Initially, you start with a thousand, and then you count them every hour."
0.4624,268.99,272.9,"After a few hours, you might see a pattern like this."
0.3603,272.9,275.94,There is clearly some relationship here.
0.9294,275.94,281.4,"It looks like the number of bacteria, which is the only one state variable, doubles every hour."
0.6934,281.4,291.9,"We can express this mathematically in the following way, where n of t is the number of bacteria at time t."
0.2871,291.9,291.9,"Now, here's a question for you."
0.4389,291.9,296.38,What would the population size be in between those hourly measurements?
0.1538,296.38,300.49,"For example, if you only came into the room after just 30 minutes."
0.5759,300.49,306.33,"Well, we know that bacteria don't wait for the one hour mark to suddenly double."
0.6413,306.33,311.04,"They are dividing continuously, so something must be happening in between those measurements."
0.4634,311.04,321.84,"Your first guess might be that after 30 minutes, the population size will be exactly half way between 1000 and 2000, so about 1500."
0.2468,321.84,323.11,But let's dig deeper.
0.6531,323.11,328.47,"To really understand what's going on, we need to think about how fast the population is growing."
0.6767,328.47,330.89,What do we call the rate of change?
0.7794,330.89,334.94,Think of it like a speedometer for our bacteria population.
0.6036,334.94,347.04,"Just like a car speedometer shows kilometers per hour, how fast you're moving, our bacterial speedometer will show how fast the population is growing in terms of bacteria per unit time."
0.599,347.04,352.07,We can denote this rate of growth with a little dot above n like this.
0.3422,352.07,356.51,"In our P3 dish, each bacterium divides independently."
0.882,356.51,365.04,"That means that at any given moment, the rate with which new bacteria are appearing is proportional to the number of bacteria already there."
0.5808,365.04,367.55,We can write this as an equation.
