score,start,end,transcript
0.2985,0.03,2.77,"By the way, should we talk about the fact that you mailed me your teeth?"
0.3372,2.77,3.78,"Yeah, yeah."
0.2519,3.78,5.35,"So creepy, Adam."
0.3065,5.35,11.27,"I recently sent Joss two of my baby teeth, one scavenge from a series of nested boxes in my garage."
0.5588,11.27,13.55,Another discovered by my parents.
0.2634,13.55,14.31,Here it is.
0.6183,14.31,23.24,"I knew these teeth could tell me how much I had been poisoned as a child, and Joss was able to hand them off to another New Yorker, one of the world's leading tooth detectives."
0.459,23.24,24.98,Teeth are like a time machine.
0.7324,24.98,31.68,"It allows you to travel into your past, and one of the things that we can measure really well is this toxicant colled."
0.8001,31.68,34.19,"Lead is so, so poisonous."
0.5614,34.19,39.14,"Extreme exposure causes violent hallucinations, convulsions, it can kill you."
0.8111,39.14,44.33,"But it turns out even tiny amounts of lead can mess up your mind, body, and personality."
0.8464,44.33,48.73,And recent studies have found that about half the population of the US was exposed.
0.8542,48.73,54.5,How has those exposures changed the course of American history and health?
0.5698,54.5,58.72,It could rate as one of the largest environmental injustices in human history.
0.9216,58.72,69.4,I wanted to find out what was in my baby teeth if lead had quietly altered my mind and how a poison so subtle you might not notice it managed to reshape the minds of 170 million people.
0.3477,69.4,73.63,We partnered with Riverside on this episode.
0.7389,73.63,81.52,"This is Herbert Needleman, the man who helped expose the hidden harms of lead."
0.3936,81.52,85.78,"He was a pediatrician, a professor, and sometimes the tooth fairy."
0.8133,85.78,93.17,"In 1975, Needleman was at Boston Children's Hospital, studying the effects of lead on children in these working-class suburbs."
0.8462,93.17,99.34,"At the time, it was common to test for lead by drawing blood, but that only gave a sense of recent exposures."
0.4817,99.34,104.64,"Needleman knew that if he wanted a record of exposure from infancy, he'd have to look at teeth."
0.3969,104.64,109.33,"Your first teeth start forming months before you're born, and one of the major building blocks is of course calcium."
0.6963,109.33,111.26,Lead looks a lot like calcium.
0.3619,111.26,117.87,"It has the same charge and a similar size, so the body readily absorbs it and lodges it permanently in our teeth."
0.8289,117.87,123.47,"So Needleman knows that teeth contain this record of early lead exposure, right?"
0.8222,123.47,127.34,It's the lead exposure that they would have had in the womb and then their first couple years of life.
0.5542,127.34,132.37,And so he went to elementary schools and recruited teachers to collect the teeth.
0.5057,132.37,134.87,And the kids got a badge in return.
