score,start,end,transcript
0.123,0.03,1.57,"Hey, this is Preshtow Walker."
0.4453,1.57,5.16,"In this video, I will present seven puzzles."
0.5682,5.16,7.32,How many can you solve?
0.5558,7.32,10.22,Let's get started with puzzle one.
0.4228,10.22,12.68,This is an easy question.
0.2227,12.68,14.74,It is to test your eyesight.
0.3047,14.74,16.69,How many ducks do you see?
0.7107,16.69,23.87,"Observation is an important scale in mathematics and in life, so let's just go through this puzzle very carefully."
0.466,23.87,30.04,"We have a grid of three by three ducks, so we will have a minimum of nine ducks."
0.4157,30.04,32.98,Let's go through each duck to see if there are any more.
0.4696,32.98,36.42,"Starting in the top left, we have one duck."
0.5719,36.42,45.65,"Then if we move over, we have more than one duck, we have one bill here, so that will be a second duck, and we have a third duck over here."
0.6434,45.65,54.0,"If we move over to the right, we have one big duck, this will be four, and then we have a small duck, which is hiding, and that will be five."
0.622,54.0,59.48,"Going to the next row, we again have two double bills, so we add two more ducks."
0.5477,59.48,64.28,"Then we have a large duck and then another small duck, so we add two more."
0.5176,64.28,68.15,"Another large duck and another small duck, which will be two more."
0.6773,68.15,74.74,"In the bottom row, we have three nested ducks, so we will need to add three to the total."
0.7189,74.74,79.47,We then just have one duck and one more duck to complete the puzzle.
0.5452,79.47,82.52,So we have a total of 16 ducks.
0.7047,82.52,85.86,Puzzle two.
0.3181,85.86,92.42,Each of 16 students uses either a bicycle or a tricycle.
0.4691,92.42,97.11,A bicycle will have two wheels and a tricycle has three wheels.
0.614,97.11,104.52,"If the total number of wheels is 38, how many students use a tricycle?"
0.8388,104.52,109.86,So this is a question I would approach mathematically as follows.
0.6186,109.86,114.87,Let X be the number of students that use tricycles.
0.6812,114.87,122.38,"Then since there are 16 students, 16 minus x will be the number of students that use a bicycle."
0.6471,122.38,125.43,Now let's count the total number of wheels.
0.5824,125.43,130.37,"Every tricycle has three wheels, so that will be three x wheels."
0.6416,130.37,133.18,And then we will add the number of wheels for bicycles.
0.3966,133.18,135.1,Each bicycle has two wheels.
0.7066,135.1,143.91,So we add two multiplied by the group 16 minus x.
0.7044,143.91,143.91,"This is equal to the total number of wheels, which is 38."
0.6048,143.91,158.87,All that remains is to solve this equation for x.
0.6384,158.87,158.87,"Distribute the two, so we have two times 16 minus two times x."
0.6513,158.87,158.87,"We then have three x minus two x, which is equal to x, and two times 16 is equal to 32."
0.5433,158.87,167.1,"So x plus 32 is equal to 38, subtracting 32 from both sides gives that x is equal to six."
0.2195,167.1,170.49,There are six students that use a tricycle.
0.8883,170.49,178.56,"This is how I would have approached the problem, but there is a very clever trick to solve the problem, and you can do it right in your head."
0.4039,178.56,182.91,Imagine all 16 students had bicycles.
0.5474,182.91,185.55,What would the total number of wheels be?
0.6892,185.55,189.76,"This would be 16 times 2, which equals 32."
0.5826,189.76,193.47,But we know the total number of wheels is 38.
0.6514,193.47,197.75,So we need six more wheels to get to the total of 38.
0.7371,197.75,203.28,That means every tricycle adds exactly one more wheel.
0.4745,203.28,207.65,So there must be six of these students who have a tricycle.
0.9634,207.65,213.37,And that's a magic way to solve this problem without doing any fancy algebra.
0.7094,213.37,216.32,Puzzle three.
0.5843,216.32,220.42,We have three different boxes.
0.4615,220.42,223.29,Each box has a statement.
0.4446,223.29,226.42,Exactly one of the statements is true.
0.2796,226.42,230.24,A car is inside one of the boxes.
0.4014,230.24,233.69,Pick the correct box and you win the car.
0.3334,233.69,235.95,Which box should you pick?
0.773,235.95,244.92,This puzzle was shared on social media and it was reported that only 36% of people could get the correct answer.
0.3226,244.92,249.23,And that's not much more than the random chance of 33%.
0.6415,249.23,251.52,So how do we figure it out?
0.658,251.52,254.48,Let's go through this step by step.
0.575,254.48,258.57,Let's first imagine the car is in box one.
0.711,258.57,261.27,Now let's evaluate each statement.
0.4345,261.27,266.08,The first box says the car is in this box.
0.4235,266.08,269.32,"If the car is in box one, this would be a true statement."
0.4473,269.32,275.7,"Box 2 has a statement, the car is not in this box, and that would also be a true statement."
0.4868,275.7,282.49,"Box 3 says the car is not in box 1, and that would be a false statement."
0.6619,282.49,289.71,"But we now have two statements which are true, and we are given the information that exactly one of the statements is true."
0.5195,289.71,294.62,"So this is a contradiction, and we cannot have the car in box 1."
0.5625,294.62,299.72,Now let's zoom ahead and consider the car is in box three.
0.687,299.72,301.82,Let's evaluate each statement.
0.5288,301.82,308.36,"Starting with box one, the car is in this box would be false."
0.5279,308.36,320.04,"Box two, the car is not in this box, that would be a true statement, and box three, the statement is the car is not in box one, and that would be a true statement because the car is in box three."
