"model","video","segment","title_number","start","generated_title"
"tinyllama","robbers_cave","1","1","0","The Secret Origins of Group Conflict"
"tinyllama","robbers_cave","1","2","0","The Secret Life of Boys at Robert'S Cave Summer Camp"
"tinyllama","robbers_cave","1","3","0","The Psychology of Group Conflict"
"tinyllama","robbers_cave","1","4","0","The Psychology of Group Conflict"
"tinyllama","robbers_cave","1","5","0","The Psychology Experiment"
"tinyllama","robbers_cave","1","6","0","The Psychology of Group Conflict"
"tinyllama","robbers_cave","1","7","0","The Psychology of Group Conflict"
"tinyllama","robbers_cave","1","8","0","The Secret Psychological Experiment at Robert'S Cave Summer Camp"
"tinyllama","robbers_cave","1","9","0","The Psychology Experiment: A Look at Group Conflict"
"tinyllama","robbers_cave","1","10","0","The Psychology of Group Conflict"
"tinyllama","robbers_cave","2","1","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","2","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","3","98","Welcome to The Dark Side Of Science"
"tinyllama","robbers_cave","2","4","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","5","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","6","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","7","98","The Result of the Study Would Reveal the Tribal Mindset Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","8","98","The Result of the Study"
"tinyllama","robbers_cave","2","9","98","The Result of the Study Would Reveal the Tribal Mindset Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","2","10","98","The Result of the Study Would Reveal the Tribal Mentality Which Has Allowed Us to Thrive as A Species But Also Has Been Responsible for Some True Historical Horrors"
"tinyllama","robbers_cave","3","1","357","The Influence of Social In-Groups on Intergroup Conflict"
"tinyllama","robbers_cave","3","2","357","The Influence of Social In-Groups on Intergroup Conflict"
"tinyllama","robbers_cave","3","3","357","The Effect of In-Group Formation on Intergroup Conflict"
"tinyllama","robbers_cave","3","4","357","The Influence of Social In-Group on Intergroup Conflict"
"tinyllama","robbers_cave","3","5","357","Examining the Role of In-Groups in Social Conflict"
"tinyllama","robbers_cave","3","6","357","Experiment #2 - Intergroup Conflict"
"tinyllama","robbers_cave","3","7","357","Experimental In-Group Formation: A Study of Social Interaction among Young Boys"
"tinyllama","robbers_cave","3","8","357","The Influence of Social In-Groups on Intergroup Conflict"
"tinyllama","robbers_cave","3","9","357","In-Group Dynamics in Social Conflict: A Case Study of the Sharoni Experiment"
"tinyllama","robbers_cave","3","10","357","The Influence of Social In-Group on Intergroup Conflict"
"tinyllama","robbers_cave","4","1","509","The Effects of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","2","509","The Effect of Group Formation on Sport Performance"
"tinyllama","robbers_cave","4","3","509","The Effects of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","4","509","The Effects of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","5","509","The Effects of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","6","509","The Effect of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","7","509","The Effects of Group Formation on In-Group Behavior"
"tinyllama","robbers_cave","4","8","509","The Effects of Group Formation on Sport Performance"
