score,start,end,transcript
0.1136,8.42,12.79,"This video was sponsored by KiwiCo, more about them at the end of the show."
0.8033,12.79,28.08,"On February 15th, 2013, over Chelyabinsk, Russia, an asteroid heavier than the Eiffel Tower slammed into the atmosphere, and then 30 kilometers above the ground, it exploded."
0.7351,28.08,48.89,"This violent event was brighter than the sun, but so high up that it was silent for a full 90 seconds after the blast, which only made the devastation worse."
0.5784,48.89,54.27,"And then, you know, just when you think nothing's going to happen, the shockwave hits it blows out the windows."
0.3571,54.27,59.34,Thousand people got glass in their face in their eyes because they're looking through the windows.
0.4829,59.34,65.36,"The shockwave damaged thousands of buildings and injured 1,500 people."
0.8489,65.36,78.1,What makes the Chelyabinsk incident kind of embarrassing is that the very same day scientists had predicted that an asteroid would make a close fly by of Earth.
0.8097,78.1,88.36,"And they were right, 16 hours after Chelyabinsk, a similar sized asteroid, known as Duende, came within 27,000 kilometers of Earth's surface."
0.5345,88.36,92.56,That's closer than satellites in geosynchronous orbit.
0.7832,92.56,100.76,"but while they correctly predicted this close approach, they completely missed the unrelated asteroid that exploded over Russia."
0.3708,100.76,104.12,"And the truth is, this happens all the time."
0.921,104.12,108.47,We're really not that good at detecting asteroids before they hit us.
0.8641,108.47,115.08,"Since 1988, over 1200 asteroids bigger than a meter have collided with the Earth."
0.6792,115.08,122.87,"And of those, we detected only five before they hit, never with more than a day of warning."
0.6713,122.87,133.26,"With all our technology and all the telescopes across the Earth, not to mention the ones in space, why do we struggle to detect dangerous asteroids before they strike?"
0.6742,133.26,140.09,"What are the chances that a big asteroid will hit, wiping out most if not all life on Earth?"
0.6246,140.09,145.18,"And if we saw one coming, what could we do about it?"
0.7677,145.18,159.65,Asteroids are the leftover debris from when our solar system formed.
0.504,159.65,168.66,"Four and a half billion years ago, rocks and dust clumped together into molten proto-planets."
0.3039,168.66,179.31,"Inside, heavy elements, metals like iron, nickel, and eridium, sank into the core, leaving lighter silicate minerals on the surface."
0.4023,179.31,185.15,Some of these proto-planets grew into the planets we know today.
0.5114,185.15,190.27,"But many more collided with each other, breaking into pieces."
0.6573,190.27,203.82,These pieces continued orbiting the sun and smashing into each other and breaking into even smaller fragments.
0.5349,203.82,219.65,"These became the asteroids, which is why some of them are rocky, loose conglomerates of gravel-sized rocks called rubble piles, and others from the cores of planetesimals are mostly metal."
0.31,219.65,221.99,So this is...
0.5195,221.99,237.95,"This is an iron meteorite and essentially it's the piece of a core of a small planetary body, basically a small planet that formed 4.5 billion years ago, differentiated so the core material fell out."
0.801,237.95,246.34,"And then this thing was smashed apart by collision with another asteroid, but as the oldest thing you'll ever see."
0.5288,246.34,261.22,"Most of the asteroids have stable orbits between Mars and Jupiter in the main asteroid belt, but some have made their way closer to Earth, and these are known as near-Earth objects."
0.4198,261.22,266.74,They are of greatest interest to us because of the threat they pose.
0.6777,266.74,273.91,"In his last book, Stephen Hawking considered an asteroid impact to be the greatest threat to life on Earth."
0.7991,273.91,278.62,But finding asteroids is difficult for several reasons.
0.5197,278.62,282.0,Most are spotted by ground-based telescopes.
0.3711,282.0,288.53,"So what you do is you take a sequence of pictures, one, two, three, one, two, three, four, and you look for essentially a moving dot."
0.4977,288.53,295.62,"And it's moving because it's orbiting around the sun, whereas the stuff far away, the stars and galaxies are not."
0.3919,295.62,297.81,But you have to look carefully.
0.9275,297.81,300.28,Asteroids are not very big.
0.4569,300.28,304.2,They range from meters up to kilometers in size.
0.737,304.2,308.85,"And in the vast, expansive space, rocks like that just don't stand out."
0.5961,308.85,311.75,And even the small ones can be damaging.
0.6374,311.75,318.8,"The Chelyabinsk meteor was only around 20 meters in diameter, roughly the width of two school buses."
0.8403,318.8,322.28,"Plus, asteroids are rough and dark."
0.471,322.28,326.35,They only reflect around 15% of the light that hits them.
0.6057,326.35,331.52,So our best chance to see them is when they're fully illuminated by the sun.
0.7675,331.52,341.74,And that's why over 85% of the near-earth asteroids we've detected were found in the 45 degrees of sky directly opposite the sun.
0.7743,341.74,351.37,"This is called the opposition effect, and it means there are likely more near-earth and potentially hazardous asteroids that haven't been detected yet."
0.7656,351.37,357.12,Any asteroid approaching from the direction of the Sun just can't be seen.
0.6162,357.12,360.81,This is exactly what happened with Chelyabinsk.
0.6178,360.81,371.64,"So far, we have detected and cataloged a million asteroids, the vast majority of which are in the main asteroid belt."
0.7758,371.64,379.49,"But 24,000 are near-Earth objects, ones that we need to keep a particularly close eye on."
0.8604,379.49,385.44,"Because even once you've detected an asteroid, it's hard to tell if it will hit the Earth."
0.6378,385.44,395.94,"So if you just discover an object and you only have Dana from a few days, then you can't really tell where it's going to go because you're trying to take this little arc of motion and predict it far into the future."
0.3034,395.94,398.84,So what you need is observations over years and years.
0.8709,398.84,407.53,"But even if you have perfect observations of an asteroid, there's kind of a fundamental limit to how far in the future you can predict."
0.5402,407.53,414.68,"And that's because a couple of effects, but one is that they're not just orbiting the Sun with no other influence."
0.3583,414.68,422.84,"All of the planets have gravity, and all of the planets are pulling on near Earth asteroids and can change the orbit significantly."
0.8017,422.84,430.49,"So there is something called dynamical chaos, which basically means after a certain amount of time you don't know where the asteroid is going to be."
0.433,430.49,437.12,And in practice what that means is we can't do any work more than 100 years in the future.
0.5902,437.12,443.37,So the maximum time you can predict with any accuracy at all where a body will be is about 100 years.
0.6708,443.37,451.66,And this is pretty important because we know with certainty if one does hit the results will be dramatic.
0.4937,451.66,456.25,This is Beringer Crater in Arizona.
0.4199,456.25,464.11,"It's named after mining engineer Daniel Beringer, who was the first to suggest it was formed by a meteorite impact."
0.3091,464.11,470.06,"The prevailing view, even up until the 1950s, was that it was created by volcanic activity."
0.5678,470.06,476.37,But Beringer was convinced it was the site of an iron meteorite impact.
0.4152,476.37,488.39,"So in 1903, he staked a mining claim and began drilling for the metallic meteorite, which he believed to be worth more than a billion 1903 dollars."
0.128,488.39,490.65,"Yeah, so people are motivated by money, right?"
0.2453,490.65,493.32,"So they thought, hey, we can get some iron for free, basically."
0.5333,493.32,497.43,So they started to drill in the bottom of the crater and found nothing.
0.3608,497.43,500.63,And then they started to do other exploratory drills.
0.2868,500.63,502.75,And this went on for years and decades.
0.4312,502.75,504.49,They started to drill sideways.
0.5756,504.49,507.12,"Somebody said, you know, maybe it came in from an angle, which it did."
0.3916,507.12,512.29,"And maybe the iron is not under the middle, but maybe it's over there under the wall."
0.4103,512.29,513.31,So he was doing drilling.
0.2599,513.31,514.99,"If you go there, you can see the drills now."
0.3357,514.99,517.0,He was drilling around the wall.
0.2381,517.0,517.68,He found nothing.
