score,start,end,transcript
0.6011,0.03,1.79,"It's not a bug, it's a feature."
0.703,1.79,6.76,"The programmers often use that excuse to justify their garbage code, and sometimes it actually works."
0.4191,6.76,12.39,"Like in the original Sid Meier civilization game, Gandhi's aggression level was set to an unsigned integer of 1."
0.2349,12.39,17.88,"Making him a super chill pacifist, but when another Civodops diplomacy, it reduces aggression by 2."
0.4679,17.88,22.11,"1-2 equals 255, or an unsigned integer underflow."
0.354,22.11,27.03,which maxed out Gandhi's aggression and turned him into a diabolical thermonuclear enthusiast.
0.5917,27.03,29.7,Is Civ players love this bug so much that it became a feature?
0.5816,29.7,35.34,"That's the urban legend anyway, but it's all fun and games until people start losing money and getting blown up in real life."
0.8156,35.34,47.76,"Real men test in production, and in today's video, we're going to take this carbon fiber submarine and travel down the software bug iceberg to look at 25 examples of bad code that changed the world, where the deeper we go, the more severe the consequences."
0.6315,47.76,53.35,"If you survive until the end, you'll understand why to do Fix It later might be the last line of code you ever write."
0.2817,53.35,58.95,"Our journey begins in the year 2008, a time when people still use devices like iPods to listen to music."
0.515,58.95,61.64,Microsoft had its own crappy knockoff called Zoom.
0.5697,61.64,68.67,"The device worked great until December 31st, New Year's Eve, when every Zoom around the world froze and became a very stylish brick."
0.366,68.67,73.15,The screen displayed a loading bar and we get stuck at 100% and then just stay there.
0.3077,73.15,75.72,It can only be fixed manually by removing the battery.
0.6614,75.72,79.54,This happened because it wasn't programmed to account for the extra day in a leap year.
0.7064,79.54,89.67,"When reaching the 366 day of a leap year, the software attempted to reset, but a logic error in handling the day count meant the device could not exit the loop, causing it to freeze permanently."
0.348,89.67,94.7,This code could be easily fixed by simply breaking out of the loop when the number of days reached 367.
0.7248,94.7,100.19,"But not all bugs are that easy to fix, like the infamous Pentium FDIV bug of 94."
0.6257,100.19,105.28,"Occasionally, when a program did floating point division on a Pentium chip, it would return an incorrect value."
0.5693,105.28,113.43,"It only happened in about 1 in 9 billion division operations, but was discovered by a professor at Lynchburg College while doing computational number theory."
0.7123,113.43,117.68,"Originally, he thought it was his own bug, but after extensive testing, he reported it to Intel."
0.7298,117.68,124.05,"Intel tried to downplay it, but then IBM suspended Intel chips in their PCs, and it turned into a massive PR nightmare."
0.5401,124.05,132.24,"The core issue is related to the SRT division algorithm, which is a way to speed up division by using lookup tables to estimate the next digit of a quotient."
0.5703,132.24,142.3,"The lookup table contains 1066 entries, but the problem in this bug is that five entries were missing, causing certain combinations of numbers to return incorrect results at the hardware level."
0.7206,142.3,145.36,"That's pretty bad, but this next bug was found inside an Apple."
0.1666,145.36,157.72,"In 2019, you could use your iPhone to start a FaceTime call with someone, then while the call is ringing, swipe up to add another person making it a group call, Add your own phone number as an additional person, then FaceTime would glitch out and think the group call was active."
0.4142,157.72,161.11,And now you can eavesdrop on the audio from the original recipient's phone.
0.3782,161.11,165.23,"And then if the person pressed the power button to dismiss the call, it would activate their camera."
0.676,165.23,173.73,"What's even crazier is that this bug was discovered by a 14 year old while trying to set up a group chat for playing Fortnite, then he tells his mom and his mom tries to report it to Apple."
0.734,173.73,179.74,"Apple thinks its code is perfect and just ignores him, but then about a week later, the bug starts to go viral on social media."
0.299,179.74,181.54,And everybody's doing it on live streams.
0.3755,181.54,185.95,"At this point, Apple disables a group FaceTime entirely and released a patch about a week later."
0.5729,185.95,190.78,They did make things right with the 14 year old though and awarded him a bug bounty and some education funding.
0.5563,190.78,196.43,But the root of the problem appears to be the fact that they weren't checking the state of the call before activating the audio stream.
0.857,196.43,203.09,"Normally, software bugs cause people to lose money, but sometimes the opposite is true, like the 2024 Chase ATM glitch."
0.4972,203.09,208.84,Most banking systems run on proprietary code that was written 50 years ago using ancient languages like Cobal.
0.1095,208.84,213.85,"Usually, when you deposit a check, it needs a few days to clear before you can withdraw those funds from an ATM."
0.5599,213.85,226.14,"But at JP Morgan Chase, some sort of glitch prevented the safeguard and tons of viral videos hit TikTok of people withdrawing tens of thousands of dollars that they never had, by simply depositing a fake check and then withdrawing money right away."
0.355,226.14,230.55,"I'm no fan of the banking system, but unfortunately, this also constitutes check fraud."
0.5351,230.55,236.0,"A few days later, these people had bank accounts deep in the red and are now being sued by the bank and may face criminal charges."
0.3872,236.0,239.82,"That brings us to the end of tier one, and things are going to get a lot crazier from here."
0.4066,239.82,244.35,"But if you like crazy programming stories, a website you'll want to check out is daily.dev."
0.2439,244.35,245.85,The sponsor of today's video.
0.2252,245.85,254.56,"If you're learning to code or learning a new language or framework, it's the one place you can curate all the latest news, tutorials, videos, and content filtered by the topics you're interested in."
0.2062,254.56,262.95,"When you join a squad, it'll create a personalized newsfeed on that topic, but more importantly, connect you to a community of like-minded developers, where we can all suffer together."
0.2488,262.95,268.04,"And these aren't bots, but real people of all skill levels, who can help you build your network in the tech industry."
0.1831,268.04,273.7,"And did I mention, it's all entirely free, so check it out with my invite link at daily.dev slash-fireship."
0.5416,273.7,280.11,"But now, it's time to dive below the surface into tier 2, starting with the AT&T long distance crash of 1990."
0.2674,280.11,286.68,"The cell phones were hardly a thing back then, and if you wanted to communicate with someone outside of your village, you'd have to pay for a long distance network."
0.7525,286.68,292.61,"After a software update, a single faulty line of code, it caused a network switch to crash and automatically reboot."
0.6338,292.61,301.24,"One failed switch is no big deal, but when it would reboot, it would cause neighboring switches to fail as well, resulting in a cascade of failures that took out the entire network."
0.6524,301.24,306.36,The bug was a C program that included a break statement within an if clause within a switch clause.
0.7296,306.36,315.76,"When a second message was received while the switch was still processing the first, the program dropped out of the if clause prematurely and overwrote crucial data causing the switch to reset."
0.6598,315.76,319.31,And this created a domino effect that blocked 50 million calls around the world.
0.5473,319.31,323.07,"A dropped call is annoying, but the last place you want to bug isn't an aircraft."
0.3338,323.07,326.52,especially when it's in the oxygen system of an F-35 fighter jet.
0.336,326.52,334.38,"In 2012, pilots were experiencing hypoxia-like symptoms during flights, like dizziness, disorientation, and overconfidence, just like a drunk driver."
0.3827,334.38,347.14,"These jets have a complex oxygen generation system called OBOGs. Usually it worked fine, but the underlying software wasn't robust enough to account for real-time variables like rapid altitude changes or variations in pilot breathing patterns."
0.5308,347.14,350.7,"When it comes to data, the old sane goes garbage in, garbage out."
0.5538,350.7,358.18,"And when that data controls how much Oxygen you get while flying $100 million lethal weapon, you better be damn sure you test your code for all possible variables."
0.6915,358.18,364.65,"In this case, the code is top secret, but it's probably C++, and luckily nobody got blown up and it was later fixed with a software update."
0.4326,364.65,370.12,"Speaking of airplanes though, back in 2008, the 4.3 billion pound Heathrow Terminal 5 opened."
0.8889,370.12,376.13,"and it only took a few days for a software bug to result in over 500 cancel flights and 42,000 lost bags."
0.297,376.13,384.63,"The new terminal had a complex automated baggage handling system with 30 miles of conveyor belts and RFIDs and barcodes to manage up to 12,000 bags per hour."
0.8316,384.63,388.38,"When they pushed a prod, several different software systems failed to communicate."
0.6794,388.38,393.24,"Employees couldn't log in, RFID tracking systems couldn't track bags, among many other issues."
0.9356,393.24,402.15,"And this led to an entire breakdown of the system costing 16 million pounds to fix, which is a prime example of when testing and production goes wrong, but well-tested code breaks too."
0.521,402.15,408.1,"In 1982, the Vancouver Stock Exchange began to slowly decrease in value due to a rounding error."
0.4607,408.1,410.6,The error was so minor though that nobody even noticed.
0.3745,410.6,416.08,"The value of the total index started at 1,000, but then over the course of two years dropped to 520."
0.5143,416.08,418.76,"Until one day somebody was like, what the hell is going on here."
0.5883,418.76,422.69,"It was a software bug, but had the index increased in value it would have been a feature."
0.6904,422.69,428.28,What happened was the software was truncating each stock price change to two decimal places instead of rounding.
0.5483,428.28,438.6,"Once stocking an index of thousands only has a minor impact, but over time it creates a cumulative rounding error, and in this case they had to completely recalculate the value of the index from scratch."
0.5768,438.6,444.65,"And that brings us to November 1988, when Robert Morris accidentally created the Morris Worm on this here floppy disk."
0.5627,444.65,459.96,"Morris was not an evil hacker, but a graduate student at Cornell, who released a self-replicating computer program designed to gauge the size of the internet, which was tiny back then, but it rapidly spread across Unix-based systems, and crashed thousands of computers in the process by overwhelming their resources."
0.7041,459.96,464.29,"It took out 6,000 computers, which at that time was around 10% of the total internet."
0.4935,464.29,473.22,"The worm itself exploited weaknesses in things like the send mail protocol, and a buffer overflow vulnerability in the finger program, which provided information about users on the network."
0.4955,473.22,478.4,"The program would then execute code remotely on these machines, and send itself to other machines on the network."
0.703,478.4,483.35,"His plan almost worked, but there was a bug in his code that would re-infect the same computer over and over again."
0.5743,483.35,490.95,"eventually it took out MIT, UC Berkeley, and NASA, and resulted in Morris getting the first felony conviction under the Computer Fraud and Abuse Act."
0.5642,490.95,502.89,"But now it's time to dive deeper into tier 3, where things actually start to blow up, like NASA's Mars Climate Orbiter in 1999, which torched $125 million in taxpayer money when it burned up entering the atmosphere of Mars."
0.7445,502.89,509.96,"And that happened because one software team used Imperial units, Pound Force, while the other team used metric units, Newton seconds."
0.4442,509.96,512.35,And that's kind of a big issue when it comes to space travel.
0.931,512.35,518.23,"Especially when just a few years ago in 1996, bad software caused the Arian 5 rocket to explode."
0.7462,518.23,525.42,"Exactly 37 seconds after liftoff, a software bug in the inertial reference system led to a critical data conversion error."
0.6637,525.42,530.17,where a 64-bit floating point number was incorrectly converted to a 16-bit integer.
0.5576,530.17,535.67,"This made the rocket think it was 90 degrees off course, and when it went to correct at high velocity, it went boom."
0.6838,535.67,551.67,"Luckily, there is nobody on board, but in 2010, the Toyota Prius put a bunch of people in danger due to a bug in its anti-lock braking system, which would cause momentary delays in braking under certain conditions, like on icy roads or potholes."
0.3411,551.67,553.74,There's something wrong with the brakes.
0.6432,553.74,566.1,"The computer created a .4-second delay switching from regenerative braking to friction braking, and this resulted in a recall of 400,000 vehicles, which was a beautiful thing because it meant there weren't as many Prius drivers driving slow in the fast line."
0.8275,566.1,573.84,"That was a big mistake made by low-level systems engineers, but front-end developers screwed things up too, like the 2020 Citibank Bad UI disaster."
0.2476,573.84,576.52,Citibank was intending to make an interest payment of $8 million.
0.6081,576.52,583.62,"However, due to a poorly designed UI, they accidentally transferred the full loan amount of approximately $900 million."
0.6101,583.62,591.31,"The software had a confusing three-screen process for payments, and the interface made it appear as though checking certain boxes would ensure only interest was paid."
0.5648,591.31,593.0,"But in reality, it did the opposite."
0.5309,593.0,598.64,"Now, after Citibank accidentally paid back this money, they asked the lenders if they could have it back, and they were like, no, bro."
0.5853,598.64,606.67,"So, Citibank took them to court, but the court ruled in favor of the lenders and let them keep the $900 million that Citibank accidentally transferred due to the bad UI."
0.697,606.67,610.91,"That's pretty bad, but this tier wouldn't be complete if we didn't talk about the Y2K bug."
0.4897,610.91,617.9,"In the early days of programming, no one thought the world would still be around by the year 2000, so they typically used only two digits to represent years."
0.6734,617.9,626.05,"As the year 2000 approached, people realized this and began to panic that computers would interpret 00 as the year 1900 instead of 2000."
0.6473,626.05,635.46,"What's funny about Y2K is that this issue never caused any widespread disasters, but the media hysteria around it led to billions of dollars being spent in preparation for the end of the world."
0.59,635.46,641.73,"But now it's time to ratchet up the pressure in tier 4, which includes critical bugs that caused widespread damage around the world."
0.3841,641.73,644.09,"Like the night capital, money burned speedrun."
0.5249,644.09,646.95,This company used algorithms to perform trades in the stock market.
0.7047,646.95,655.22,"However, the developers accidentally used a variable name linked to an outdated testing algorithm called PowerPag, which had been inactive since 2003."
0.6089,655.22,659.61,This algorithm was designed to manipulate virtual markets by buying high and selling low.
0.0923,659.61,663.66,"Now, if you don't know much about investing, usually you want to buy low and then sell high."
0.0429,663.66,665.24,That's not financial advice though.
0.9051,665.24,670.69,"When they pushed a prod, the algorithm went haywire and started flooding the New York Stock Exchange with incorrect trades."
