score,start,end,transcript
0.4855,0.03,1.94,Take a look at this cereal box.
0.1905,1.94,4.87,"No, a closer look."
0.1668,4.87,5.83,Even closer.
0.5723,5.83,11.32,Thousands of tiny dots create the illusion of solid color.
0.2272,11.32,13.83,But it's just an illusion.
0.7892,13.83,17.96,"For pure color, like this yellow, get ready to pay."
0.888,17.96,20.68,This is a Pantone color.
0.513,20.68,25.53,The company's products cost hundreds to thousands of dollars.
0.9361,25.53,29.21,But Pantone doesn't sell ink.
0.5482,29.21,30.07,It sells these.
0.7796,30.07,34.38,Standardized color guides for designers and printers.
0.2747,34.38,41.65,"So this one was around $1,000, but the entire set is about $8,000, I think."
0.2251,41.65,43.68,"It's actually over $9,000."
0.5624,43.68,49.1,"In Pantone, recommends replacing its products every 18 months."
0.3778,49.1,53.73,I find that suggestion convenient for them.
0.8096,53.73,58.67,"For 60 years, one company has dominated color standards."
0.6542,58.67,62.92,Now some frustrated designers seek a better alternative.
0.7441,699.99,705.42,Pantone becomes a necessary evil because it's such a mainstream language.
0.978,68.98,73.09,So why are pantone colors so expensive?
0.8212,73.09,79.94,And how does a company make a fortune on color without selling a drop of ink?
0.6638,79.94,84.64,Most printing is like that cereal box.
0.5888,84.64,88.69,You might have heard it called CMYK or half toning.
0.6982,88.69,96.92,"It's a process that's been around since the 19th century, but CMYK can only produce a limited number of colors."
1.0,96.92,101.89,Pantone gives designers a shared palette way beyond that range.
0.7066,101.89,104.19,And these colors are solid.
0.247,104.19,107.64,"See, no dots."
0.5907,107.64,110.64,"They look brighter, cleaner, and more consistent."
0.8829,110.64,117.81,"You might know Pantone from its color of the year, but you actually see it every time you go to the grocery store."
0.6168,117.81,119.81,Its colors are everywhere.
0.8306,119.81,127.0,"To understand why Pantone became the industry standard, we have to go back to the 1950s."
0.437,127.0,132.89,"Before computers and Adobe, design was a physical process."
0.3015,132.89,137.36,You'd have these little tweezers and you'd have to kind of move things around in your composition.
0.2938,137.36,143.79,"You would use a lot of chemicals, there was a lot of rubber cement, exacto knives, getting things to be really precise was really hard."
0.6474,143.79,149.14,And getting colors to look the same around the world was challenging.
0.7339,149.14,154.88,color matching really wasn't something that people could do when working with different printers.
