"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","leetcode_patterns","1","1","0","Eight Key Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","1","2","0","Eight Key Coding Interview Patterns"
"mistral-7b-v0.3","leetcode_patterns","1","3","0","Eight Key Coding Interview Patterns"
"mistral-7b-v0.3","leetcode_patterns","1","4","0","Top 8 Coding Interview Patterns Backed by Data"
"mistral-7b-v0.3","leetcode_patterns","1","5","0","Eight Essential Coding Interview Patterns"
"mistral-7b-v0.3","leetcode_patterns","1","6","0","Eight Essential Coding Interview Patterns"
"mistral-7b-v0.3","leetcode_patterns","1","7","0","Eight Key Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","1","8","0","Eight Essential Coding Interview Patterns"
"mistral-7b-v0.3","leetcode_patterns","1","9","0","Eight Key Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","1","10","0","Eight Key Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","1","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","2","3","Mastering Two Pointers and Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","3","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","4","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","5","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","6","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","7","3","Mastering Two Pointers and Sliding Windows for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","8","3","Mastering Two Pointers, Sliding Windows, and Binary Search for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","9","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
"mistral-7b-v0.3","leetcode_patterns","2","10","3","Mastering Two Pointers & Sliding Windows Patterns for Coding Interviews"
