"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","compute_pi","1","1","0","Quantum Computing's Hidden Link to Pi via Block Collisions"
"mistral-7b-v0.3","compute_pi","1","2","0","Harnessing Block Collisions to Uncover Quantum Connections"
"mistral-7b-v0.3","compute_pi","1","3","0","Harnessing Block Collisions for Quantum Computing & Pi Mysteries"
"mistral-7b-v0.3","compute_pi","1","4","0","Quantum Computing's Hidden Link to Pi via Block Collisions"
"mistral-7b-v0.3","compute_pi","1","5","0","Quantum Pi: Block Collisions & Grover’s Algorithm"
"mistral-7b-v0.3","compute_pi","1","6","0","Quantum Pi: Unraveling Block Collision Secrets"
"mistral-7b-v0.3","compute_pi","1","7","0","Quantum Computing's Hidden Link to Pi via Block Collision"
"mistral-7b-v0.3","compute_pi","1","8","0","Unraveling Quantum Connections in Block Collision Pi Calculation"
"mistral-7b-v0.3","compute_pi","1","9","0","Quantum Computing's Hidden Link to Pi via Block Collisions"
"mistral-7b-v0.3","compute_pi","1","10","0","Harnessing Block Collisions to Uncover Quantum Pi Secrets"
"mistral-7b-v0.3","compute_pi","2","1","127","Pie-Like Collision Counts in Idealized Universe"
"mistral-7b-v0.3","compute_pi","2","2","127","The Pie-Like Pattern of Cosmic Collisions"
"mistral-7b-v0.3","compute_pi","2","3","127","Pie-Like Collision Counts: A Classical Physics Puzzle"
"mistral-7b-v0.3","compute_pi","2","4","127","Idealized Cosmic Collisions Yield Pi-Like Counts"
"mistral-7b-v0.3","compute_pi","2","5","127","The Pie-Like Pattern of Cosmic Collisions"
"mistral-7b-v0.3","compute_pi","2","6","127","Pie-Like Collision Counts in Idealized Universe"
"mistral-7b-v0.3","compute_pi","2","7","127","Idealized Cosmic Collisions Yield Pi's Digits"
"mistral-7b-v0.3","compute_pi","2","8","127","Pie-Like Collision Counts in Idealized Cosmic Puzzles"
"mistral-7b-v0.3","compute_pi","2","9","127","Pie-like Puzzle: Idealized Collision Counts"
"mistral-7b-v0.3","compute_pi","2","10","127","The Pie-Like Puzzle of Cosmic Collisions"
"mistral-7b-v0.3","compute_pi","3","1","232","Unraveling Quantum Puzzle's Pi Connection"
"mistral-7b-v0.3","compute_pi","3","2","232","Unraveling Quantum Puzzle: Block Collision &"
"mistral-7b-v0.3","compute_pi","3","3","232","Quantum Puzzle & Pi: A Hidden Connection"
"mistral-7b-v0.3","compute_pi","3","4","232","Quantum Puzzle Unveils Quantum Computing Secrets"
"mistral-7b-v0.3","compute_pi","3","5","232","Quantum Puzzle Unveiled: Decoding Collision Count &"
"mistral-7b-v0.3","compute_pi","3","6","232","Quantum Puzzle & Pi: Unveiling Hidden Connections"
"mistral-7b-v0.3","compute_pi","3","7","232","Quantum Puzzle & Pi: Unraveling the Connection"
"mistral-7b-v0.3","compute_pi","3","8","232","Quantum Puzzle Unveiled: A Quantum Leap to Understanding"
"mistral-7b-v0.3","compute_pi","3","9","232","Quantum Puzzle & Pi: Unraveling the Connection"
"mistral-7b-v0.3","compute_pi","3","10","232","Quantum Puzzle Unveils Quantum Computing Mysteries"
