score,start,end,transcript
0.6664,0.03,11.39,"If you make a guess, and you make the wrong guess, then multiply it by a negative number and correct the mistake, stat quest, bam."
0.331,11.39,16.86,"Hello, I'm Josh Starmer and welcome to stat quest."
0.6084,16.86,20.55,"Today, we're going to talk about reinforcement learning with neural networks."
0.7004,20.55,24.66,"And this time, we're going to focus on the mathematical details."
0.2621,24.66,33.36,"This stack quest is brought to you by the letters A, B, and C."
0.2961,33.36,33.36,"A always B, B, C, curious."
0.2525,33.36,35.38,Always be curious.
0.4837,35.38,46.51,"Note, this stack quest assumes that you are already familiar with gradient descent and the essential concepts of how reinforcement learning can be added to a neural network."
0.0,46.51,48.41,"If not, check out the quests."
0.568,48.41,58.26,"In the stack quest, a reinforcement learning with neural networks, essential concepts, there were two places we could go to get a French fry snack."
0.1558,58.26,62.34,"Squatches fry shack, and norms fry hut."
0.6213,62.34,68.55,And we used a neural network to help us decide where to go based on how hungry we were.
0.6355,68.55,81.63,"However, since we didn't know in advance if squash or norm was going to give us a large or small order of fries, we couldn't train the neural network with standard back propagation."
0.7449,81.63,86.68,"Instead, we trained the neural network with reinforcement learning."
0.7767,86.68,93.59,"Specifically, we showed how the policy gradients method can train the neural network."
0.7218,93.59,100.29,Now we're going to go through the mathematical details and show every single step required to train this neural network.
0.8201,100.29,108.49,"Specifically, we're going to show all of the details required to train this bias, B, with policy gradients."
0.7883,108.49,115.74,"So, the first thing we do is run an input value through the neural network to calculate an output value."
0.6966,115.74,121.58,"We'll start with 0.0 as the input, which means we're not hungry."
0.6211,121.58,126.83,Now we just do the math.
0.7344,126.83,152.6,"and the probability that we will go to norms, P norm is 0.5. And that means that the corresponding probability that we will go to squatches, P squatch, is 1 minus P norm, which equals 0.5. In other words, we can draw a line that is 0.5 units long to represent the probability of going to squatches."
0.7089,152.6,159.98,and then append another line that is 0.5 units long to represent the probability of going to norms.
0.5693,159.98,163.72,And we end up with a line that goes from 0 to 1.
0.4925,163.72,171.84,"Now, to decide which place we will visit for a snack, we pick a random number between 0 and 1."
0.658,171.84,183.87,"In this example, we randomly pick the number 0.2. and because 0.2 is in the region that represents a squatch's fry shack, we'll go there."
0.5432,183.87,187.13,Now comes the part where we make a guess.
0.6025,187.13,199.65,"If we make a guess that the correct thing to do is to go to squatches, then, ideally, we would want the probability of going to squatches p-squatch to be 1."
0.7616,199.65,217.49,"And that means we can quantify the difference between the ideal value for p-squatch, 1.0, that is based on the guess that we should go to squatches, and 0.5, the value for p-squatch based on the output from the neural network."
0.5821,217.49,224.94,"Now, because the values for p-squatch are probabilities, we will use cross entropy to quantify their differences."
0.604,224.94,229.04,"Note, there's a lot to be said about cross entropy."
0.3657,229.04,234.47,"And if you're interested in the details, you can check out these quests or my book on AI."
0.7338,234.47,247.69,"However, for this example, the only thing you really need to know is that cross entropy is the negative log base E of the probability we go to either norms or squatches."
0.8477,247.69,254.26,"Now remember, the goal of this example is to optimize the bias."
0.7191,254.26,264.72,"So, just like we do for normal back propagation, the first thing we do is calculate the derivative of the cross entropy with respect to the bias we want to optimize."
0.7181,264.72,273.35,"Note, before we get started, I want to be clear that we are calculating the cross entropy for going to Squatch's fryshack."
0.689,273.35,282.62,"So, to help us remember what's going on, we'll let CE Squatch refer to the cross entropy for visiting Squatch."
0.7938,282.62,290.97,"Now, the cross entropy for visiting squatch, CE squatch, is the negative log of P squatch."
0.2708,290.97,293.87,Because we went to squatches.
0.9465,293.87,309.99,"However, because the output from the neural network is the probability of going to norms, P norm, we rewrite the cross entropy equation in terms of P norm, because P squatch equals 1 minus P norm."
0.6641,309.99,317.4,"P-norm, in turn, is the y-axis output value from the sigmoid activation function."
0.8029,1137.3,1152.61,"And the output from the sigmoid activation function depends on its input, the x-axis coordinate x."
0.8601,1152.61,1152.61,"And x comes from multiplying the input value, hunger, by the weight, and then adding the bias."
0.8421,332.64,358.27,"Now, because the cross entropy is connected to the sigmoid activation function by P-norm, and the sigmoid activation function is connected to the bias by X."
0.7281,358.27,358.27,We can solve for the derivative of the cross entropy for visiting squash with respect to the bias by using the chain rule.
0.9211,358.27,385.82,"The chain rule tells us that the derivative of the cross entropy for visiting squash with respect to the bias is the derivative of the cross entropy for visiting squash with respect to the output from the neural network, P-norm, times the derivative of P-norm with respect to x, the x-axis input value to the sigmoid activation function, times the derivative of x with respect to the bias."
0.8498,385.82,395.42,"We'll start by working out the derivative of the cross entropy for visiting squash with respect to the output from the neural network, P-norm."
0.7037,395.42,410.37,"Now, because the cross entropy for visiting squash is equal to the negative log of 1 minus p norm, the first thing we do is plug in the negative log of 1 minus p norm for the cross entropy."
0.4052,410.37,419.0,"Now, to solve for this derivative, we have to use the chain rule."
0.6461,419.0,426.25,"Because p norm, the thing we want to take the derivative with respect to, is inside the log function."
0.6312,426.25,436.85,"So, to apply the chain rule, we create a new variable called stuff, and let stuff equal the stuff inside the log function, one minus p norm."
0.896,436.85,444.2,And that means we are solving for the derivative of the negative log of stuff with respect to p norm.
