score,start,end,transcript
0.7136,0.03,14.91,"In this time of uncertainty where fascists are seizing power and climate chaos supercharges disasters killing thousands and displacing millions where a whole world is content watching settler colonial genocide unfold, it can feel hard to see any light at the end of the tunnel."
0.5026,14.91,17.95,It feels like the future is grim.
0.3721,17.95,19.54,But all is not lost.
0.6607,19.54,22.08,The future can be beautiful and bright.
0.7709,22.08,28.15,"A future where our needs are met, our communities and our environments thrive, and we all feel fulfilled in our daily life."
0.895,28.15,39.08,"But to bring about that world, we need to escape the confines of capitalism, imagining and then building a world free of capitalist exploitation and destruction, an eco-socialist world."
0.7484,39.08,41.25,Today we dive into that vision of the future.
0.2911,41.25,42.19,What does it mean?
0.7335,42.19,44.76,What would an eco-socialist world actually look like?
0.7609,44.76,51.03,And why giving shape to that world in our imaginations is crucial for building radical movements in the here and now.
0.4123,51.03,56.04,It feels like hope is a dwindling flame in the dark.
0.3601,56.04,58.1,That change is impossible.
0.636,58.1,60.75,But we can and must rid ourselves of that notion.
0.7991,60.75,66.13,We need to light a spark under that dwindling flame and imagine a better world for ourselves and our communities.
0.8156,66.13,70.08,We can't just surrender to the exploitation and destruction of capitalism.
0.3874,70.08,76.34,"Indeed, as educator Ashley C."
0.6181,76.34,76.34,"Ford writes, the goal of oppressors is to limit your imagination about what is possible without them."
0.5618,76.34,80.03,so you might never imagine more for yourself in the world you live in.
0.3861,80.03,84.17,"As I covered extensively in this video, hope must not be just a feeling."
0.6851,84.17,85.78,It's a revolutionary act.
0.8002,85.78,94.67,"It's a tool that gives us a North Star, a heading from which we might chart a course to a more liberatory and just world outside the depravities of capitalism."
0.8535,94.67,103.4,"Because to transform and topple our current system of fossil capitalism, to build movements, we need as much world-building as we do critique."
0.6705,103.4,110.19,"We need to envision what a zero-carbon, laboratory world might look like, so that we have something to fight for, not just against."
0.8953,110.19,121.78,"As environmental historian and author of Half Earth Socialism, Troy Vittessa argues, in a conversation I had with him a while back, that having this utopia, this end goal is very useful, because that actually glues together your coalition."
0.1951,121.78,123.32,That actually binds you together.
0.8011,123.32,127.89,"Luckily, there are so many beautiful visions of a future based on the needs of the people and the planet."
0.5127,127.89,135.08,"From video games like Teranil, or all the varied visions of solar punk, or even the Pan-African Ecotekutopia of Wakanda."
0.6805,135.08,145.33,"Unfortunately, these pieces of art often lack political direction and insight, which is why we must define and give shape to the political systems that might actually produce those visions."
0.8311,145.33,147.69,And that system is eco-socialist.
0.1957,147.69,155.11,"For Candace Dixon, working at an Amazon fulfillment facility meant risking injury every single day."
0.2541,155.11,162.93,And that day eventually came as she threw out her back and then was made to go back to work quickly for fear of losing her job.
0.017,162.93,163.69,I got injured.
0.045,163.69,164.71,I pulled my back out.
0.0782,164.71,173.43,"Her doctor told her to limit heavy lifting, but she says Amazon sent her back to work, still dealing with heavy boxes and her injury got worse."
0.0,173.43,175.94,"Unfortunately, Candace Dixon is not alone."
0.38,175.94,184.72,"Amazon's workplace injury rate is almost double that of the industry average, as workers are forced to labor at speed to bring profits to the likes of Jeff Bezos."
0.6016,184.72,191.22,And there are so many more and worse life-threatening industries that prioritize profits over life and the planet.
0.791,191.22,196.27,"This is life under capitalism, a system based on the accumulation of profits and capital."
0.7938,196.27,199.48,We need a vision of a world that runs wholly counter to this.
0.9406,199.48,205.14,"We need eco-socialism, a system based on the needs of both people and the planet."
0.7616,205.14,215.58,"While there will not be and cannot be one singular vision of how eco-socialism might work, there are a number of different throughlines that run through the manifestos and agendas of leftists."
