score,start,end,transcript
0.7268,0.03,11.12,"11 white, 11-year-old boys were sent to a special remote summer camp in Oklahoma, Robert's Cave State Park in the summer of 1954."
0.6602,11.12,21.34,"Each child is unknown to one another, but they all have a few common background traits, for ethnicity, religion and two parent upbringing."
0.5488,21.34,30.24,"They have been told that they will be living together on this Scout Camp site, but first they must all get to know each other and pick a group name."
0.5561,30.24,39.57,"To solidify the bond between the boys, a number of regular summer camp activities are undertaken, such as swimming, hiking and playing games."
0.668,39.57,46.28,"The boys picked a name for Eagles, and stencil this onto white flags."
0.8092,46.28,59.23,"What the children didn't know was that an almost identical story was playing out with another group of 11 to 12 year old boys across the park, and they had given themselves the name for Ratlers."
0.7317,59.23,70.41,"Neither group is aware of one another, and they are also unaware that in just a few days' time they'll be competing against each other in a number of standard summer camp activities."
0.9511,70.41,81.61,What the children also don't know is that their camp counsellors are actually researchers into a psychology experiment into into group conflict.
0.8421,81.61,89.18,and the researchers had created these groups by randomly selecting and balancing attributes of the 22 boys.
0.7161,89.18,101.33,The result of the study would reveal the tribal mentality which has allowed us to thrive as a species but also has been responsible for some true historical horrors.
0.8629,101.33,109.66,"Even though both groups shared so many background similarities, the experiment would be described as the real life Lord of the Flies."
0.3991,109.66,112.89,Welcome to the Dark Side of Science.
0.4781,112.89,129.18,"Our story starts not in the USA, but in the Ottoman Empire with the birth of Muzava Sharif on the 29th of July 1906."
0.454,129.18,136.93,"Sharif, in the first 20 years of his life, would see a tumultuous time for his home country."
0.1938,136.93,144.16,"He grew up in Odomis, located 113 km south of the city of Izmir."
0.4289,144.16,146.81,in roughly the western modern day Turkey.
0.2828,146.81,153.19,"Ismir would see occupations during the Turkish War for Independence, which ran between 1918 and 1923."
0.3268,153.19,163.68,"Sharif would go on to college during this period, graduating in 1926 with a Bachelor of Arts from Ismir International College."
0.3213,163.68,171.03,His education would continue with him earning an MA from Istanbul University in 1928.
0.4258,171.03,178.47,"After discovering the works of William McDougall, he looked into the theory of instinct and social psychology."
0.4987,178.47,183.73,"As a surprise to probably no one, McDougall was also into eugenics."
0.488,183.73,187.88,It does seem like everyone was into his theory in the early 20th century.
0.2769,187.88,189.54,"Anyway, I digress."
0.3592,189.54,195.13,Cherif would enrol at Harvard in the late 1920s gaining an MA.
0.3481,195.13,205.1,"He would re-enroll in 1933 after a visit to Germany, although he would change to Colombia for his doctorate earning his PhD in 1935."
0.3701,205.1,211.47,"Upon returning to Turkey, Sharif was offered a position teaching at Anchorage University."
0.3388,211.47,217.18,"During his time at the university, he was very open about his anti-fascist views."
0.4135,217.18,225.97,"At a time with Germany falling under the spell of Nazism, Girif was highly critical of Hitler and became a communist ideological supporter."
0.5432,225.97,235.51,"This would get him into trouble in the mid-1940s, when in 1944 he was detained with a number of Turkish Communist Party members."
0.3405,235.51,241.88,Turkey during World War II was a neutral power for the most part until it sided with the Allies in February 1945.
0.3172,241.88,249.4,But the country was fearful of a Soviet invasion and sought to secure itself with the capitalist Western Allies.
0.4121,249.4,255.87,This was around the same time that Sharif decided to leave Turkey and return to the USA after being detained.
0.3313,255.87,263.84,"In fear of a harsh punishment for his political activities, as the country looked further to the west in its political alignment."
0.4117,263.84,278.22,"Sharif, a graduate from two US universities, found his Marxist views in the late 1940s, had benefitted to his career, as the social academic environment at the time was far more left-leaning."
0.3655,278.22,286.46,"This led to his book The Psychology of Ego Involvements, 1947, published from Princeton University."
0.413,286.46,296.68,"But being left-leaning wasn't to be a benefit for too much longer, as the dark shadow of the Cold War loomed and the rise of McCarthyism."
0.3568,296.68,304.93,"By the beginning of the 1950s, Sharif's social, political and professional ties to Turkey fell apart during the anti-communist movement."
0.3786,304.93,312.95,"To add further insult to injury and career university, officially fired him citing his marriage to a US citizen."
0.1968,312.95,316.69,"Oh yes, I nearly forgot to talk about Carolyn, his wife."
0.4158,316.69,325.7,"The couple met in 1945 when Carolyn, who at the time was a research assistant at Princeton University, under Mr. Sharif."
0.3335,325.7,332.57,She gained a master's degree in 1944 while studying under Wendell Johnson of Monster Study fame.
0.3189,332.57,341.2,"Their professional relationship developed into a personal, then-romantic, culminating in a marriage in December 1945."
0.6307,341.2,346.29,The two were going to produce multiple works in the psychology and social psychological fields.
0.8424,346.29,349.99,"Okay, well, that's a little bit of a background to the experimenters."
0.717,349.99,352.5,Let's look at the experiment itself.
0.6295,352.5,357.35,"Starting in 1945, the Sharif began to look at the field of social in-group."
0.2119,357.35,361.38,Let me dust off my dictionary for a second for the official definition.
0.4299,361.38,371.0,"An in-group is a small group of people in an organisation or society whose members share the same interests, language, etc, and try to keep other people out."
0.8594,371.0,381.71,The sheriff sought to artificially create in-groups amongst young boys to see if they could turn these groups against one another to study the intergroup conflict.
0.8755,381.71,393.36,The first experiment would take place in the summer of 1949 with 24 white 12-year-old boys from lower middle-class Protestant backgrounds at an isolated camp in middle-growth.
0.4962,393.36,401.24,It would be funded by Yale University and the Department for Scientific Research of the American Jewish Community.
0.7265,401.24,408.64,The reason for all the children having the same background was to eliminate differences apart from personality between the boys.
0.6733,408.64,419.11,"Jereeth would for the experiment disguise himself as Mr Mosaic, the camp caretaker, as a way for him to observe the behaviour of his subjects."
0.5691,419.11,422.6,The experiment would be formed of three stages.
0.8627,422.6,429.07,The first consisted of all the boys taking part in activities amongst each other and were allowed to form friendships.
0.8244,429.07,433.09,After a while the 24 boys were divided into two groups.
0.7517,433.09,440.68,The experimenters deliberately separated the budding friendships in their selection of each cohort of 12 children.
0.8847,440.68,448.47,"From then on stage two commenced, where each group would only be allowed to interact within each other."
0.9504,448.47,451.35,This was to try and establish an in-group mentality.
0.7986,451.35,456.14,The team buildings were conducted where a common goal appealed to all in the group.
0.7574,456.14,464.31,"By the end of this stage, Sharif noted that friendships were bonding within the individual groups and a hierarchical structure had formed."
0.8848,464.31,468.42,They found that the boys preferred interacting with their own in-group over the other.
0.6387,468.42,475.61,"Although this seems like a clean cut hypothesis, confirmation, it wasn't so perfect, but we'll discuss that later on."
0.7598,475.61,480.76,"Now, would the two groups, Stage 3, would involve adversarial competition?"
0.879,480.76,484.11,It was observed that the two groups would act hostile to one another.
0.8176,484.11,492.35,"And although, acting democratically and internally in their 12 strong teams, the boys didn't conduct themselves accordingly with the outgroup."
0.9329,492.35,498.11,Sharif tried to restore harmony at the end of the study by giving the boys a common enemy to unite against.
1.0,498.11,504.56,"They did this by beating a softball team from outside the camp, although tensions still existed between the two groups."
0.7185,504.56,509.9,"With these promising results, the Sharif sought out to expand upon the subject of in-groups."
0.9634,509.9,518.43,This brings us onto the 1953 Sheriff's next experiment into in-to-group behaviour.
0.5805,518.43,524.28,"The study would follow the same lines as the 1949 experiment, but would employ greater laboratory controls."
0.4526,524.28,527.95,We would only get to stage two before being terminated early.
0.6237,527.95,535.14,"Girif would later say in his 1961 Robert's Cave book, on the reason for the failed experiment."
0.6406,535.14,543.31,"Owing to various difficulties and unfavorable conditions, including errors of judgement in the direction of the experiment."
0.6312,543.31,550.9,"But Shereef seemingly dismissive comment on the study actually glosses over the real reason, but that will be revealed later on."
0.598,550.9,562.48,"This meant that a rerun was in order, and with the remaining grant money burning a hole in Shereef's pocket, this finally brings us on to the Robert Cave study of 1954."
0.3382,562.48,570.79,The rerun was planned to take place beginning in June for three weeks or the summer of 1954.
0.7765,570.79,581.24,"The experiment would have 22 boys all from similar backgrounds, but vitally not to have ever had any previous interactions with one another."
0.3541,581.24,583.11,But where to get so many children?
0.4032,583.11,592.68,"It's not like you can just go take a class from a school, as there'll be prejudices in groups, microcultures and already inevitable rivalries."
0.6971,592.68,595.44,All of this could muddy a potential experiment.
0.7204,595.44,601.35,"In order to find a group large enough, a city had to be selected to find a pool of subjects."
0.5256,601.35,605.04,The experiment is settled on Oklahoma.
0.3695,605.04,608.94,Sharif decided that a maximum of one boy per school could be selected.
0.8292,608.94,623.24,Researchers were dispatched throughout the city to its many schools and armed with higher education credentials and a letter managed to gain permission from the principles to go into the school yard to observe fifth grade of boys playing.
0.4597,623.24,630.38,These credentials also gained access for the researchers to the children's school records.
0.4392,630.38,634.35,This compared to the modern world of stranger danger really blows my mind.
0.29,634.35,638.83,Old and 1950s were a degree and a letter will get you in anywhere.
0.5658,638.83,641.57,"In total, around 200 children were selected."
0.2351,641.57,646.14,This will require a little more selection down to around 50.
0.7945,646.14,655.91,"Anyway, to cut a long story short, around 5 or 6 children per school were selected, rated top to bottom in preference, and their parents were contacted in the same order."
0.8494,655.91,671.37,"The parents were given the same explanation of the study as the principals, that the Sharif team was looking to study the interaction of group activities within teams and how they would act during sporting activities and attitudes towards winning or losing."
0.4277,671.37,678.55,The parents were explicitly told that visiting their child during the three weeks was prohibited and the camp would cost $25.
0.0285,678.55,686.37,"Which, apparently on the inflation calculator, is around $261 in 2022 money."
0.7946,686.37,690.82,"Eventually the 22 participants were selected, and thus the experiment could begin."
0.641,690.82,700.11,"The overall concept of the experiment would be copied from the 1949 and failed 1953 studies, but would take a free stage form."
0.7319,700.11,704.13,Sheriff named the first stage in group formation.
0.9114,704.13,715.48,"This would take the space of a week, where two groups were kept separate, and team building exercises were undertaken to form an in-group bond within the participants."
0.869,715.48,721.03,Games and treasure hunts were planned during Stage 1 to help build friendships and in-group alliances.
0.5394,721.03,724.38,Stage 2 would be the conflict or friction phase.
0.8001,724.38,735.69,"This would involve a tournament between the two groups, consisting of sports like baseball, tug of war and a scavenger hunt, but also experimental tests like being counting competitions."
0.6132,735.69,742.34,A trophy was promised for the winners of the competition as well as prizes like knives and medals.
0.732,742.34,757.05,"Over the 1950s where pre-teens were given weapons, The third and final stage was the integration phase, where the two groups would be brought together to undertake group tasks and leisure activities of watching films."
0.8176,757.05,767.11,"To record their findings, hidden microphones were used throughout the two groups living areas, which were used to record conversations to observe the camaraderie within the group."
0.9192,767.11,772.55,The groups were also given questionnaires to fill out about their group and later about the outer group.
0.5854,772.55,784.59,"On a 19th of June 1954, a coach of 11 children arrived at the Robbers Cave State Park in Oklahoma."
0.7426,784.59,789.12,"A day later, another group of eleven would also arrive at the camp."
0.8662,789.12,798.41,"Both groups were unaware of the other, and for out stage one, the experimenters would keep this the case by carefully managing the two's activities throughout the park."
0.5402,798.41,807.95,"The boys would stay in log cabins alongside the macausing creek, where they could swim, play and explore among the nearby woods."
0.7621,807.95,812.73,"Each group had junior camp counsellors, who were university students."
0.69,812.73,822.24,"Bay would stay with the boys all the time, and there were also senior camp counsellors who were participant observers who stayed with the boys for around 12 hours a day."
0.3077,822.24,828.0,Jereef had instructed these assistants strictly to not influence the study in any way.
0.8581,828.0,833.59,"Although there were two groups, their experience in the first few days was very similar."
0.4554,833.59,838.22,"After the 19th of June, the first stage would begin."
0.8001,838.22,848.4,This began even on the coach ride to the camp where boys in their separate coaches discuss parents and parts of the city of Oklahoma where they had come from.
0.7838,848.4,852.47,Games were played and the groups were encouraged to create team names.
0.4368,852.47,854.77,Make flags and create a motto.
0.6709,854.77,859.15,"One group took the name the Eagles, where the other took the name the Ratlers."
0.6966,859.15,868.2,Over the next few days the groups were allowed to create hideouts and using a canoe placed near each respective campsite created their respective holdouts.
0.6184,868.2,872.73,"In order to keep both groups separate, mill times and activities were staggered."
0.5904,872.73,881.46,"The groups were allowed to purchase t-shirts and baseball caps for stenciling their respective group names on, as well as white sheets to be turned into flags."
0.5339,881.46,886.21,The type of language within the group addressed items as R things.
0.9993,886.21,889.28,and a noticeable microculture was developing within the boys.
0.9375,889.28,900.87,"Towards the end of the week, the two groups were allowed to find each other and once completely confirmed by the camp workers that there was indeed another group, both groups became eager to see one another."
0.5004,900.87,904.27,But a slight spanner was thrown in the works.
0.6896,904.27,908.46,Two boys in the Eagle group had to be sent home due to home sickness.
0.8757,908.46,918.97,"This would give an organic path to Stage 2, the friction stage, but the experiment is found that both groups became insistent on challenging one another to a baseball game."
0.8575,918.97,925.78,Allowing the subjects to believe that the Tournament of Stage 2 was going to be their idea.
0.7583,925.78,933.99,"The continued insistence of the groups, albeit mainly from the Rattlers, meant setting up the control circumstances for Stage 2 became increasingly difficult."
0.6536,933.99,940.42,"The Rattlers, upon hearing, the other group was playing on the baseball field, began to use language-like."
0.3765,940.42,944.06,"They're using our diamond, or they're on our field."
0.8245,944.06,949.85,"This showed that the in and out group dynamics had successfully formed, at least in the Rattlers."
0.589,949.85,955.19,"And thus, the experiment moved into Stage 2, or the friction phase."
0.8108,955.19,967.05,"The first day of the friction phase consisted of an informal discussion between the experimenters, posing as staff and the two groups separately."
0.8753,967.05,976.82,These discussions informed the children of the tournament's possible prizes and assured them that every effort was being made to set everything up for the two groups to face off.
0.7808,976.82,983.59,"Crucially, during the first day of Stage 2, both groups had no physical or visual contact with one another."
0.7459,983.59,987.2,The different groups had different reactions to the informal announcements.
0.7303,987.2,993.3,The Ratlers seemed to be really excited for the competition and showed aggressive language about the other group.
0.7705,993.3,1001.29,They appropriated the ball ground as theirs and planted a Ratler flag and made aggressive remarks about any would-be flag removers.
0.6833,1001.29,1009.11,"The Eagles, on the other hand, were far less enthusiastic, with only a couple of the boys sounding particularly eager to face off."
0.8663,1009.11,1012.85,"But a remainder of the day, the two groups prepared and practiced."
0.5276,1012.85,1019.04,"The Eagles were showing, as the day progressed, a greater group pride when their flag was attached to a pole."
0.8782,1019.04,1027.37,"On the second day, the two groups would have their first, close quarters contact, almost immediately this broke out into name-calling and aggressive behaviour."
0.6673,1027.37,1036.82,"The two groups had breakfast at different times where they were introduced to the tournament exhibit, which took the form of a trophy, bladed knives and medals."
0.5133,1036.82,1040.1,"After breakfast, the tournament was officially announced."
0.6886,1040.1,1050.01,"The groups were informed that each game would accrue points to the winning team, and a team with the largest number of calmative points would win the whole tournament."
0.8113,1050.01,1057.27,There was a mix of competitive activities as well as activities to be completed separately by the groups which would be judged by the staff.
0.6601,1057.27,1071.38,"The games were to consist of baseball and tug of war on the first day and second day of the competition, touch football, tent pitching and baseball on the third day and finally a tug of war and tent pitching on the fourth."
0.6336,1071.38,1077.54,"The separately completed activities were cabin inspections on the second day, as well as skits and songs."
0.6184,1077.54,1084.03,"Day 3 had another cabin inspection, and day 4 had another cabin inspection at a treasure hunt."
0.9325,1084.03,1093.98,"The second group of activities allowed the experimenters to even out the score to keep the team's nick and nick for longer, thus increasing the friction between the groups."
0.6025,1093.98,1100.62,"Straight off the bat, don't excuse the pun, the rattlers won the baseball game, and the tug of war."
0.7316,1100.62,1103.89,This was even dealt by the experimenters during the cabin inspections.
0.6223,1103.89,1112.74,"After the first two days of the tournament, the cheers for the losers and good sportsmanship went out of the window, degenerating into heckling."
0.7287,1112.74,1118.83,"During real times, insults were thrown at each other and intergrouped relations further fell apart."
0.5654,1118.83,1125.53,"After the first tug of war, the defeated Eagles took the rattlers flag from the baseball pitch and set it a light."
0.4929,1125.53,1129.26,"The next day, the rattlers were sent for breakfast first."
0.4831,1129.26,1131.98,in order for them to see the child remains of their flag.
0.5488,1131.98,1140.43,"In retaliation, a punch-up between the two groups ensued, and in the scuffle, a member of the Ratlers grabbed and burned the Eagle flag."
0.4279,1140.43,1145.56,The next tug of war on a second day resulted in a strong win for the Eagles.
0.7219,1145.56,1153.03,"frustrated in this, and fueled with anger from the flag burning, the Rattlers set about planning a raid of their adversaries camp."
0.5537,1153.03,1163.75,"In a night around 10.30pm, the Rattlers group hit the Eagles cabin, turning beds and ripping window screens, stealing comic books, and even clothing."
0.555,1163.75,1169.74,"The next day during lunch, the Eagles hit the Rattlers cabin, doing the same amount of damage."
0.5659,1169.74,1176.17,"The rattlers by now had also replaced their burnt flag with a stolen pair of trousers, much to the annoyance of the Eagles."
0.6322,1176.17,1187.12,"The competitions continued and were manipulated in such a way that by the last day of the competitions it was Nick and Nick, and pivoted on the final task for Treasure Hunt."
0.8707,1187.12,1196.17,"Because the hunt was separate between the two groups, again this result could be manipulated in the favour of the smaller Eagle group."
0.546,1196.17,1203.48,"Right at the end of the hunt, both teams were brought out in front of the trophy and prizes, and the winners were the Eagles."
0.4931,1203.48,1210.21,"The Eagles did the hunt in 8 minutes and 38 seconds, and the Rattlers did theirs in 10 minutes and 15 seconds."
0.6222,1210.21,1214.22,The difference was night and day between the group's reactions.
0.5567,1214.22,1222.15,"The Eagles gleeful in the win, shouting and jumping, juxtaposed to the Rattlers' dejected sitting, watching the winners celebrate."
0.5388,1222.15,1225.95,The Eagles went off to the creek to swim and play in victory.
0.9211,1225.95,1230.7,This must have grated on a defeated group and they planned to even the score.
0.589,1230.7,1237.47,The Ratlers again raided the Eagles camp and in doing so stole the knives and medals which had just been won.
0.6178,1237.47,1244.6,Upon finding out the Eagles squared off against the Ratlers and a fight looked like it was about to break out.
0.7257,1244.6,1249.14,A couple of the boys scuffled but quickly this was broken up by the staff.
0.6108,1249.14,1253.51,The Ratlers observers heard the group back up the path to their camp.
0.6128,1253.51,1261.88,"A staff member returns some of the prizes to the Eagles, but it was clear that neither group wanted to have anything to do with the other."
0.6835,1261.88,1267.99,"And thus the experiment now moved into its final stage, integration."
0.5552,1267.99,1276.44,Sharif and his team had created two groups who had become arch enemies.
0.7163,1276.44,1285.06,"This hatred was not from racial, religious or cultural backgrounds, but purely from being arbitrarily selected into a group by third party."
0.83,1285.06,1291.73,Initially it was thought that just exposure of the two groups to one another would increase positive feelings between the two.
0.6083,1291.73,1296.08,Tirif tried group meals and watching movies in the recreation hall.
0.7218,1296.08,1299.1,During these scenarios the staff would leave the groups.
0.5972,1299.1,1306.05,"Junior initial contact seating was freely available, thus giving the opportunity for the groups to intermingle."
