score,start,end,transcript
0.1547,0.49,1.93,Take a look at these chocolate bars.
0.3111,1.93,7.16,"They're identical, except one cost, 120% more."
0.7153,7.16,10.57,Because this was bought at the airport.
0.5411,10.57,16.66,"You probably know you're paying a premium, but have you ever realized just how much more?"
0.3746,16.66,22.11,This burger from Chili's is marked up 46% from its street price.
0.7071,22.11,30.05,There are so many airports across the U.S. where the management isn't answerable to the broader public.
0.5773,30.05,34.23,But the problem isn't just that passengers are a captive audience.
0.3588,34.23,36.31,It's a lack of competition.
0.4649,36.31,38.53,Like look at this food court.
0.4596,38.53,44.02,All six of these businesses are operated by the same multi-billion dollar company.
0.9195,44.02,47.92,So how did airport prices get so high?
0.7777,47.92,52.03,And why are some airports raising them even more?
0.7055,52.03,61.99,"To understand how we got five Starbucks in a single terminal, we need to go back to the early 20th century."
0.6478,61.99,66.77,When airports looked more like train stations.
0.7028,66.77,73.22,"People complained about airports being overcrowded, dirty, dingy kind of places."
0.3484,73.22,76.31,The glamour came once you got on the airplane.
0.1421,76.31,79.73,See how neatly everything is arranged down the tray?
0.7213,79.73,83.85,"But for the air travel industry to grow, airports needed to improve."
0.8199,83.85,87.37,They also needed to make money from passengers.
0.5222,87.37,95.81,"They were making money anyway they could, observation decks, oil wells, swimming pools, tennis courts."
0.7717,95.81,100.91,"Some of them began to charge for parking, which became a big money maker eventually."
0.4091,100.91,102.84,There might be a new stand there.
0.7726,102.84,106.16,Airports tried things like pay toilets.
0.2823,106.16,109.04,"And every nickel counts, I guess."
0.6618,109.04,117.59,"By the mid 20th century, airports opened restaurants to attract not only passengers, but also those wanting a night out."
0.3614,117.59,119.83,These were very nice restaurants.
0.0,119.83,123.03,"In my hometown, you would go for an anniversary."
0.3552,123.03,124.61,People would go there for prom.
0.4069,124.61,131.7,This postcard described Janet's hometown airport as the Midwest's most distinctive dining and cocktail lounge.
0.4331,131.7,136.82,"And in the 1960s, some new terminals were architectural marvels."
0.9177,136.82,147.65,"These types of amenities were designed to bring people to the airport, maybe inspire them to fly, but also to generate revenue."
1.0,147.65,150.67,Of course airports are always looking for ways to make more money.
0.3019,150.67,158.2,This was the golden age of flying.
0.4451,158.2,162.37,"But compared to today, not that many people traveled by plane."
0.6454,162.37,168.24,"Because tickets were expensive, it was mostly the wealthy and businessmen that blew."
0.5909,168.24,173.13,And those who did fly weren't spending much time in airports anyways.
0.359,173.13,175.91,But that changed in 1978.
0.5564,175.91,183.1,"Congress deregulated the industry, allowing airlines to decide their own rates and routes."
0.485,183.1,186.47,"Soon after, ticket prices fell."
0.2839,186.47,192.32,deregulation led to literally a frenzy of fair wars.
0.3496,192.32,194.29,"Well, you get what you pay for."
