score,start,end,transcript
0.8242,0.86,3.2,Do you know how much water you drink?
0.7971,3.2,6.43,Do you know how much water you should drink?
0.3867,6.43,9.06,"If you're anything like me, you'll have very little idea."
0.2597,9.06,12.54,This is the food chain from the BBC World Service.
0.6888,12.54,17.2,I'm Ruth Alexander and this week we're finding out how to hydrate.
0.8711,17.2,20.58,Water is a nutrient and many times it's forgotten.
0.4827,20.58,23.09,We'll be discovering how much we need.
0.3395,602.12,604.67,So the variation is absolutely enormous.
0.5545,25.69,28.37,Which drinks are the most thirst-quenching?
0.69,28.37,30.4,What happens if we don't drink enough?
0.5631,30.4,31.88,Or too much?
0.8738,31.88,42.53,I had literally just drunk so much water that I had washed out of myself all the salts and nutrients that you need to function.
0.1419,42.53,45.9,And we'll hear your tips for getting it right.
0.6542,45.9,60.85,"As you can probably hear, I'm in the office and so far today I've had one cup of coffee, one and three quarter cups of tea, and I'm on my third glass of water."
0.6805,60.85,64.61,"I don't normally track how much I'm drinking, but today I'm going to."
0.8219,64.61,76.09,"And something I've noticed in the office, I think quite a few people do monitor how much they're drinking, judging by the large water bottles on people's desks with markings on them."
0.156,76.09,77.81,"Now here is Gideon, my colleague."
0.5982,77.81,84.0,"Gideon, every time I sit next to you, I notice you have that water bottle with markings on the side."
0.3648,84.0,85.02,Hmm.
0.2212,85.02,85.26,I do.
0.5733,85.26,87.76,It's a litre-sized water bottle.
0.5908,87.76,89.85,I fill it up each morning when I come into work.
0.6514,89.85,94.77,"And I try and make myself drink it before the end of the day, not always successful."
0.3533,94.77,95.85,It depends how busy I am.
0.7926,95.85,100.92,"And quite often I get to the end of the day, I look at the water bottle, I realise there's still water in it, and I'll finish it before I'll go home."
0.5783,100.92,102.56,I'll make myself get through my litre.
0.1073,102.56,103.86,Thursday or not?
0.3732,103.86,104.52,Exactly.
0.4809,104.52,107.8,"And by the very end of the day, you're going to bed."
0.739,107.8,110.28,How much are you trying to drink in a whole day?
0.635,110.28,112.93,I kind of aim at about two litres.
0.751,112.93,114.77,I don't know if that's the amount I should be drinking.
0.368,114.77,117.5,"If that's too much, too little, I'm not sure."
0.3292,117.5,119.07,"OK, we're going to find out."
0.0618,119.07,120.01,"Yeah, let me know."
0.1848,120.01,120.77,We'll do.
0.2709,120.77,123.96,"So, Victoria over here."
0.0,123.96,128.27,She's got a nice turquoise one with some orange stripes.
0.2607,128.27,129.35,"Hello, Victoria."
0.8179,129.35,135.3,Are you sort of very specific about how much you're drinking every day?
0.6893,135.3,143.27,"Yes, I am to be honest, because I feel dehydrated, especially in office with our very dry air here."
0.4874,143.27,146.78,"And at the end of the day, I have a horrible headaches."
0.7236,146.78,149.5,"And I realized if I drink enough water, I don't have it."
0.799,149.5,154.63,So I at least trying to drink two of these big bottle waters.
0.1143,154.63,156.17,What are you aiming for?
