score,start,end,transcript
0.6084,0.03,4.73,Hello and welcome to the Food Chain from the BBC World Service with me Ruth Alexander.
0.8611,4.73,9.59,"In this episode we're asking should you eat breakfast and if so, what?"
0.7242,9.59,21.43,"Joining me is Courtney Peterson, a researcher in intermittent fasting and associate professor of nutrition at the Harvard T.H. Chan School of Public Health in the US."
0.167,21.43,22.91,"It's great to be here, thanks for having me."
0.6297,22.91,30.54,"Also, professor Alexandra Johnstone, nutrition scientist based at the ROWAT Institute at the University of Aberdeen in Scotland."
0.2875,30.54,38.74,"Hi, Ruth, thank you for inviting me to join New to Dean and Mariannella Herrera, an associate professor at Central University of Venezuela."
0.092,38.74,42.85,and visiting lecturer at Framingham State University in the US.
0.2316,1430.06,1431.04,Thank you for having me.
0.1939,44.21,45.97,This is a great opportunity.
0.1599,45.97,47.13,Thank you.
0.4658,47.13,53.44,"So, I have to, of course, start by asking you each what did you have for breakfast today."
0.618,53.44,58.79,I had a very standard breakfast.
0.4996,58.79,69.52,"I had a croissant, a mini croissant, some jelly, a piece of turkey, and a coffee."
0.2119,69.52,71.53,That's what I had.
0.6697,71.53,77.03,That sounds very nice and a step up from my whole wheat cereal with milk and a coffee.
0.2128,77.03,79.02,"Alex, what did you have?"
0.5436,79.02,101.16,"Oh Ruth, so I'm not actually in the UK just now, I'm in Paris, so I had, and I had to have, I was really looking forward to it, a coffee and a croissant, and I had a banana that I took in my handbag that travelled with me soon, and I've been looking forward to it all weekend to enjoy that, and it was lovely."
0.2047,101.16,102.3,Wonderful.
0.0283,102.3,103.39,Courtney.
0.541,103.39,112.26,"I had a giant fruit smoothie with bananas, a little bit of almond milk, an orange, strawberries, and some protein powder."
0.8605,112.26,117.04,Is breakfast the most important meal of the day?
0.2948,117.04,118.19,Or is that a myth?
0.7823,118.19,130.79,"Yeah, so we've had a lot of exciting research over the past 20 years, and I'd say we learn, we've learned the important finding that not only what you eat and how much you eat, but when you eat matters."
0.3097,130.79,134.76,And we sort of learn that there are three core principles that really matter.
0.5088,134.76,138.03,So the first is how long do you fast each day?
0.6564,138.03,144.74,"And the idea is that we need a longer fasting period each night, just like we need a period to sleep to rest and repair."
0.5269,144.74,147.81,We need a longer fasting period to rest and repair.
0.466,147.81,154.05,"And through my and others research, we found that typically fasting for 16 hours of the day can improve health."
0.941,154.05,157.87,Does that mean it could be a good idea to skip breakfast then?
0.8448,157.87,162.69,"Not necessarily, but skipping breakfast may not be as bad as you think."
0.5927,162.69,166.27,"It sort of depends what you do with dinner, and I can come back to that."
0.8992,166.27,173.49,"So the second principle we've learned is the time of day that you eat matters, where it's better to eat earlier in the day."
0.9885,173.49,179.72,"So again, this suggests that breakfast actually is really important, because we find your metabolism is higher."
0.4664,179.72,184.62,"earlier in the day, and that's to do the circadian system, or your body's internal biological block."
0.8435,184.62,193.57,And the sort of third principle we've learned is having meals at consistent times of the day really matters because your body adapts to what you do on a habitual basis.
0.7431,193.57,200.6,"So eating at consistent times, your body's not confused and it can start timing its internal metabolism to match that."
0.3821,200.6,203.16,So you can kind of mix and match these principles.
0.8127,203.16,207.85,"So if you eat earlier in the day and do intermittent fasting, that's sort of the best."
0.8889,207.85,217.03,"but you can potentially skip breakfast and get some benefits, but it's probably better to eat breakfast early in the day if you can."
0.8318,217.03,222.43,What are the benefits of having an early breakfast?
0.2362,222.43,224.88,Unlike how early?
0.4335,224.88,233.41,So your body has this internal biological clock known as the circadian system that makes you better at doing different things at different times of the day.
0.6366,233.41,239.08,"So for instance, in most people, they have their best blood sugar control in the mid to late morning."
0.2583,239.08,244.54,So that's going to be around sort of between maybe about 10 a.m. to noon time.
0.8549,244.54,254.03,"And so if you can eat a large breakfast in the morning and or I would even say a large lunch in the morning, your body's going to be better at metabolizing that food."
0.6221,254.03,258.78,"And what that means is your body's going to actually, your blood sugar levels won't spike as high."
0.4756,258.78,261.97,You might burn slightly more fat.
0.8215,261.97,265.39,You might burn slightly more calories from eating earlier in the day.
