score,start,end,transcript
0.6744,0.03,9.27,"One single scientist created three inventions that accidentally caused the deaths of millions of people, including himself."
0.5589,9.27,22.52,"Not only that, they decreased the average intelligence of people all around the world, increased crime rates, and caused two completely separate environmental disasters that we are still dealing with today."
0.1145,22.52,28.33,"Part of this video is sponsored by Ren, more about them at the end of the show."
0.5493,28.33,40.52,"In 1944, as a young chemist who had just finished his masters, Clair Patterson went to work on the Manhattan Project, building the first nuclear weapons."
0.6243,40.52,48.83,"His job was to concentrate uranium-235, the fizzle fuel for bombs, from the much more common uranium-238."
0.5984,48.83,58.78,"And this required huge machines, mass spectrometers, which separated the two types of uranium by their slight difference in mass."
0.2647,58.78,68.54,"After the war, Patterson went back to grad school to get his PhD."
0.479,68.54,76.8,"He picked a research project that would take advantage of his experience with mass spectrometers, measuring the age of the Earth."
0.4296,76.8,82.17,radioactive rocks are effectively clocks.
0.3888,82.17,91.55,"Uranium 238, for example, decays into thorium and then protectinium and then 12 more decays until it ends up as lead 206, which is stable."
0.2525,91.55,95.63,The rate of this decay is consistent and can be measured.
0.5867,95.63,103.77,It takes 4.5 billion years for half of a sample of U238 to decay into lead 206.
0.7071,103.77,112.01,Patterson's PhD project was to determine the age of the Earth by measuring the ratio of uranium to lead in primordial rocks.
0.3406,112.01,117.98,"But to calibrate his instrument, first he used Zircon crystals whose ages were known."
0.4746,117.98,126.97,"Zircon is ideal for this purpose because when it forms, it contains trace amounts of uranium, but absolutely no lead."
0.6663,126.97,133.06,"So any lead that you later find inside a zircon, you know must be the product of a uranium decay."
0.5421,133.06,139.93,"Patterson was tasked with measuring the lead content, and another student, George Tilton, measured uranium."
0.1286,139.93,143.54,Tilton's uranium measurements were fine.
0.199,143.54,144.94,They matched predictions.
0.4951,144.94,151.83,"But Patterson's lead measurements were all over the place, and they were many, many times higher than they expected."
0.5537,151.83,155.99,"We take George's uranium in my lead, not right, Patterson."
0.7929,155.99,159.13,There was lead there that didn't belong there.
0.7255,159.13,163.2,So where was all this extra lead coming from?
0.2806,163.2,171.72,That mystery would take over the rest of Claire Patterson's life and bring him to the literal ends of the earth.
0.3629,171.72,180.59,"In 1908, a woman was driving across the Belle Isle Bridge in Detroit when her car stalled."
0.1891,180.59,183.57,A passing motorist stopped to help.
0.5179,183.57,186.66,"In those days, cars needed to be hand cranked to start."
0.4,186.66,194.25,"He knelt down and turned the crank and the engine roared to life, a little too suddenly."
0.3688,194.25,200.46,"The man couldn't get out of the way, the crank handle hit him in the face and broke his jaw."
0.2924,200.46,202.78,He died as a result of his injuries.
0.3848,202.78,210.92,"His name was Byron Carter, and he was the founder of his own car company, so he was well connected in the Detroit auto scene."
0.2834,210.92,215.4,"He counted among his close friends the founder of Cadillac, Henry Leeland."
0.327,215.4,223.9,Leeland was so distraught over his friend's death that he resolved to eliminate hand-cranks from his vehicles.
0.4258,223.9,230.97,"Leland hired Charles Kettering to create a self-starting car, and by 1911 he had a working prototype."
0.2536,230.97,236.36,"Handcranking was difficult and dangerous, and best left to men."
0.5585,236.36,241.84,But a car that started itself changed everything.
0.3284,241.84,245.61,The world's first crankless car was the Cadillac Model 30.
0.5395,245.61,248.18,It was much more powerful than cars before it.
0.2828,248.18,252.24,It had a top speed of 45 miles per hour and 40 horsepower.
0.3659,252.24,259.73,Double the Ford Model T.
0.347,259.73,259.73,"The Model 30 was a huge success for Cadillac, doubling the company's annual sales."
0.4686,259.73,261.81,But it had a problem.
0.2032,261.81,264.18,It was definitely loud.
0.3388,264.18,272.51,"In internal combustion engines, a piston compresses the fuel air mixture, which is then ignited by a spark from the spark plug."
0.2472,272.51,276.12,The expanding hot gases push the piston back down.
0.4589,276.12,289.05,"The problem with the Model 30 engine was it compressed the fuel air mixture more than previous models, so much in fact that often the fuel would spontaneously combust before the spark from the spark plug."
0.4062,289.05,297.66,"So rather than orderly, perfectly timed explosions, you'd get multiple haphazard combustions leading to turbulent pressure waves inside the cylinder."
0.4264,297.66,302.13,The resulting sound led the problem to become known as engine knocking.
0.4776,302.13,307.52,"Knocking wasn't just hard on the ears, it hurt the engine's performance."
0.5855,307.52,310.72,It reduced power output and lowered fuel efficiency.
0.5314,310.72,316.51,"The vibrations also damaged the piston and walls of the cylinder, shortening the life of the engine."
0.4736,316.51,321.81,The good news was that engine knocking could be corrected by changing the fuel.
0.3832,321.81,332.42,"Different fuels can withstand different levels of compression before detonating, and Heptane, for example, will spontaneously combust under only a little compression."
0.3944,332.42,342.16,"ISO Octane, on the other hand, can withstand a much higher compression ratio before it auto ignites, so it's much less likely to cause knocking."
0.4137,342.16,347.5,"To quantify how much compression a fuel can withstand, scientists came up with the octane rating system."
0.3964,347.5,353.55,"They arbitrarily set iso-octane to have a rating of 100, and N-heptane a rating of 0."
0.6342,353.55,356.86,"Now, real fuels aren't made up of only these two ingredients."
0.3249,356.86,365.12,"They're a mix of lots of different hydrocarbons, but the octane rating tells you what mixture of octane and heptane gives equivalent performance."
0.3819,365.12,372.58,"For example, 98 octane fuel can withstand the same compression as a mixture of 98 percent octane and 2 percent heptane."
