score,start,end,transcript
0.7574,0.03,6.5,Just one bluefin tuna can sell for millions at the Toyosu market auction in Japan.
0.924,6.5,10.79,"Because of this price, there's a bustling enterprise of fake bluefin tuna."
0.2601,10.79,15.06,And one of the reasons for that is that it's so easy to get away with the crime.
0.864,15.06,19.22,"Scalops, lobster, and red snapper are also commonly faked."
0.7355,19.22,25.31,One analysis found that nearly 40% of fish samples tested were mislabeled.
0.8793,25.31,32.74,Sea food fraud is perhaps one of the most fraudulent items that consumers are coming into contact with regularly.
0.7891,32.74,38.6,It could be a restaurant passing off a $3 piece of tilapia has $17 red snapper.
0.9376,38.6,43.23,But there are also entire criminal rings smuggling fish across the world.
0.8665,43.23,48.75,One out of five fish caught is caught illegally.
0.3636,48.75,53.36,And with them billions of pounds of other animals that weren't the targets.
0.3003,53.36,59.81,But stopping these bad actors is incredibly difficult.
1.0,59.81,63.18,So how did counterfeit seafood become so widespread?
0.3261,63.18,66.19,And why is it so hard to catch the criminals?
0.7677,66.19,75.3,"We'll start with a popular ingredient in sushi restaurants, imitation crab."
0.6448,75.3,83.09,"It's often made of serimi, a seafood paste filled with ground up whitefish, like threadfin brim or Alaska Pollock."
0.7309,83.09,88.36,"That's the same kind in McDonald's Filet O'Fish, or in fish sticks."
0.2552,88.36,97.68,"In this factory in Dungjin, South Korea, a machine shreds the serenie blocks into the texture of dough."
0.5907,97.68,105.05,"Workers dump in salt, starch, sugar, and crabs laboring, often made from crab stock."
0.1407,105.05,107.59,Then this machine rolls the mixture into a log.
0.1978,107.59,114.09,Food coloring made from tomato and paprika gives it the distinct orangey red look.
0.7033,114.09,131.64,"This is a totally legal product, as long as it's labeled imitation crab meat."
0.4578,131.64,138.9,But what's illegal is trying to pass off this imitation stuff as the real thing.
0.4059,138.9,142.88,Like the UK restaurant chain Frankie and Benny's did.
0.6874,142.88,147.59,It admitted that more than half of its crab bruschetta was imitation crab.
0.8508,147.59,154.32,"Suppliers have been caught trying to label cheaper crabs from Asia as expensive ones, like these Maryland Blues."
0.8396,154.32,160.57,fishermen trapped real Maryland blue crabs off the east coast of the US.
0.2195,160.57,168.82,"Population levels have been declining because of environmental water quality issues, especially in Chesapeake Bay."
0.5404,168.82,174.03,Max Valentine is a seafood fraud expert with a conservation nonprofit Oceana.
0.516,174.03,178.35,And so they are being sold for astronomical prices.
0.4128,178.35,182.56,There's a very limited supply of them right now.
0.625,182.56,186.75,"Once this meat is picked out of the shell, it becomes lump crab."
0.5944,186.75,189.53,Those lumps are baked into things like crab cakes.
0.5095,189.53,195.82,"So once it's been processed, it's really hard for you to tell what it is you're getting."
0.7023,195.82,204.9,"Federal law enforcement busted a Virginia seafood supplier for labeling 400,000 pounds of imported lump crab as product of USA."
0.517,204.9,212.99,"A 2015 Oceana study found that nearly 40% of Maryland blue crab cakes sold across Washington, D.C. and Maryland were mislabeled."
0.6339,212.99,216.59,They didn't contain that species of crab at all.
0.7735,216.59,221.07,It would turn out to be swimming crab from Southeast Asia.
0.3479,221.07,222.72,And it's incredibly cheaper.
0.7426,222.72,227.86,We gave Max some lump crab to understand how we can tell its legit.
0.3038,227.86,235.36,What's really great here is that the company has put a lot of information on the back of the package.
0.7346,235.36,238.47,So it's telling us that it's wild caught.
0.4187,238.47,242.16,It's giving us the genus and species name.
0.6476,242.16,246.88,We're able to tell that this is a blue swimming crab from Indonesia.
0.8279,246.88,252.63,"But if your package doesn't have all that info, buy your Maryland blue crabs whole and alive."
0.3352,252.63,255.34,Get them in season from April to December.
0.8286,255.34,263.37,Bluefin is the most expensive kind of tuna because it's the largest pine fat and so rare.
0.6262,263.37,267.68,They're found across the North Atlantic and Pacific oceans.
0.6931,267.68,274.49,"In Japan, Bluefin are sold at live auction here at Toyosu Market, the largest fish market in the world."
0.5087,274.49,303.94,Bitter's like Takayuki Shinoda have about 15 minutes to check the fresh tuna for any nicks or scratches before the action starts.
0.2528,303.94,329.86,"With a ring of the bell, the auction is off."
0.7906,329.86,333.94,"And as demand for this expensive fish has increased, so has its value."
0.5504,333.94,339.57,"In 2019, a tuna set a record at Toyosu, when it sold for $3.1 million."
0.5958,339.57,355.45,"The civic bluefin stalks are overfished, and the yellowfin population is headed toward collapse."
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.4675,362.02,364.4,It's a big thing for the land.
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.3518,373.88,376.14,It's a big thing for the sake of the land.
0.6293,376.14,382.7,Overfishing and illegal activity are major cause.
0.7492,382.7,391.69,"In 2018, Spanish authorities uncovered a group that sold over $14 million worth of illegally fish tuna between Malta and Spain."
0.1553,391.69,393.65,Police arrested dozens.
0.477,393.65,401.1,The tuna fishery is especially difficult to manage because tuna are migratory in nature.
0.6979,401.1,407.21,"And as a result, vessels targeting tuna are usually fishing across multiple jurisdictions."
0.4682,407.21,408.89,But there's another type of fraud.
0.2761,408.89,410.11,They do know.
0.8391,410.11,416.68,"That includes trying to sell Escalar, a cheap fish that could have dangerous levels of mercury as white tuna."
0.2359,416.68,420.54,"If you can be successful at that fraud, the returns are huge."
0.8072,420.54,428.89,OCNS 2013's study of Fish DNA found that 59% of tuna samples at U.S. restaurants and grocery stores were mislabeled.
0.2575,428.89,431.58,So how can you make sure you're not getting robbed?
0.5272,431.58,438.71,"If you're going for Bluefinn, maybe save it for a special occasion, because the real stuff is usually sold at high-end restaurants."
0.9759,438.71,445.07,"If you're seeing Bluefin tuna at your local supermarket, I'd say that's probably fraudulent."
0.6757,445.07,448.45,"Grocery stores do sell yellowfinn, but make sure to check the price."
0.1513,448.45,453.62,This is incredibly low for about $8.
0.7703,453.62,459.41,We would expect a tuna steak of this size to be quite a bit more expensive.
0.0593,459.41,462.33,Certainly over 15 closer to $20.
0.4125,462.33,465.3,And then peruse that label for any red flags.
0.718,465.3,470.66,"This package says yellowfin on the outside, but just tuna on the inside."
0.936,470.66,475.35,And so that makes me concerned that this isn't in fact yellowfin tuna.
0.5272,475.35,480.34,That says that this is processed and packaged in Indonesia.
0.5763,480.34,484.89,And then this label is telling us that it's a product of Venezuela.
0.4059,484.89,487.21,And so that is very concerning.
0.4618,487.21,491.76,And the ingredients include carbon monoxide to get that bright red color.
0.5619,491.76,498.81,"It's allowed as a meat colorant in the US, but banned in Canada and much of Europe because it can cover up spoilage."
0.1059,498.81,501.95,I probably would not have purchased this for myself.
0.2462,501.95,504.93,It would raise too many red flags for me.
0.6597,504.93,513.15,Wild scallops are a popular mollusk often found in bays or shallow waters.
0.6611,513.15,517.79,Peru exported $88 million worth of scallops in 2019.
0.6165,517.79,529.96,And over half of that comes from here in the Satura Bay.
0.6127,529.96,536.04,Fishermen dredge out the bivalves from deep in the seabed and use nets to haul them onto boats.
0.5673,536.04,539.46,Scalops die soon after they're taken from the water.
