score,start,end,transcript
0.5651,0.03,8.91,"When you don't know, take a guess, and then see what happens, and update your guess after that."
0.2122,8.91,11.23,Stackquest.
0.2534,11.23,15.78,"Hello, I'm Josh Starmer, and welcome to Stackquest."
0.5699,15.78,23.36,"Today we're going to talk about reinforcement learning with neural networks, and we're going to cover the essential concepts."
0.2326,23.36,32.62,"This stack quest is brought to you by the letters A, B and C."
0.3415,32.62,32.62,"A always B, B, C curious."
0.3721,32.62,34.74,Always B curious.
0.5081,34.74,44.59,"Note, this stack quest assumes that you are already familiar with the main ideas of how neural networks work, as well as the basics of back propagation."
0.167,44.59,48.52,"If not, check out the quests or my book on AI."
0.5797,48.52,60.59,"Now, imagine it was snack time and we had to choose between going to Squatch's fry shack or Norm's fry hut for a delicious French fry snack."
0.4993,60.59,65.54,There are a lot of ways we could pick one of the two places for a snack.
0.4481,65.54,68.62,"For example, we could just flip a coin."
0.3096,68.62,72.88,"If we got heads, we could go to squatches."
0.5234,72.88,77.61,"And if we got tails, we could go to norms."
0.5702,77.61,82.45,"However, just flipping a coin wouldn't take into account how hungry we were."
0.4976,82.45,86.05,And some days we might be more hungry than others.
0.6332,86.05,91.97,"Also, flipping a coin doesn't take into account how many fries we get at each place."
0.5315,91.97,96.66,"For example, we might usually get a lot of fries at norms."
0.5099,96.66,100.08,And that would be great if we were really hungry.
0.4201,100.08,104.73,But maybe less great if we were not so hungry.
0.5667,104.73,109.29,It's also possible that norm might give us a skimpy order of fries.
0.4803,109.29,113.5,"And if we were really hungry, that would be a total bummer."
0.4936,113.5,118.71,"In contrast, if we were not very hungry, it might not be so bad."
0.4185,118.71,125.2,"Likewise, a squash might serve us a skimpy order of fries or a large one."
0.5703,125.2,129.66,"and depending on how hungry we were, each order could be good or bad."
0.5623,129.66,144.48,"So it would be nice to have a way to decide which place to go to for a snack that took our hunger into account, as well as the possibility that we could get a large or skimpy order of fries at each place."
0.7869,144.48,156.51,"To solve this problem, we're going to use a neural network that takes our hunger as input and gives us the probability that we will go to norms, p-norm, as the output."
0.6133,156.51,161.12,The only problem is that we need to train this one bias.
0.4146,161.12,169.39,"Now, usually when we want to train a neural network, we would start with a training data set like this."
0.3839,169.39,174.99,that has possible input values paired with their ideal output values.
0.317,174.99,181.5,"With this type of training data, we could train our neural network using standard back propagation."
